Curtis Borer, Chansey, deer
Keva Stiedemann, Rattata, termite
Levi Kshlerin, Lapras, mouse
Mrs. Keith Kuhn, Exeggcute, turtle 
Tommie Paucek, Dewgong, fish
Miss Jill Robel, Psyduck, chimpanzee
Mauricio Kohler, Alakazam, otter
Miss Van Krajcik, Hitmonchan, crocodile
Lena Kreiger, Sandshrew, mole
Susy Bednar, Jolteon, bee
Marion Dickinson, Haunter, herring
Latrice Bradtke, Mew, rabbit
Russel Heller, Dugtrio, eel
Audrie Smitham, Abra, wombat
Harriet Larkin Jr., Blastoise, cockroach
Nichol Jacobi, Flareon, mammoth
Lucien Nitzsche, Kangaskhan, shark
Carlos Beier, Ponyta, platypus
Mr. Phil Auer, Golbat, panda
Markus Gleason MD, Machop, snake
Harley Fadel, Tauros, cat
Nelda King, Starmie, frog
John Cartwright MD, Staryu, porcupine
Shaquita Waters, Slowbro, platypus
Carolynn Hoeger, Goldeen, ox
Shavonne Hane, Horsea, lion
Erick Kilback Sr., Nidorino, termite
Hong Blick, Horsea, koala
Dr. Chia Lowe, Golem, coyote
Lowell Price, Slowpoke, squirrel
Clifton Tremblay, Rattata, dolphin
Augustine Klein, Slowpoke, beaver
Leanna Miller DDS, Ditto, hornet
Sammy Harvey, Tentacool, gnat
Mark Hills, Aerodactyl, alpaca
Yi Sawayn II, Clefable, giraffe
Jessie Weber, Magikarp, giraffe
Miss Miquel Littel, Venusaur, macaw
Man Schuster, Exeggcute, sea lion
Bulah Kemmer, Zapdos, gerbil
Thea Dickinson, Muk, lion
Roderick Ruecker, Kingler, ox
Jennine Dickinson, Haunter, macaw
Francisco Aufderhar, Porygon, horse
Charles Ebert, Seadra, pig
Gwyneth DuBuque II, Seaking, fish
Dr. Nikole Johnson, Golbat, cricket
Dorthy Dooley, Mewtwo, crow
Lora Cremin, Meowth, reindeer
Malik Kemmer, Nidoran, mouse
