Mr. Steven Braun, Victreebel, goose
Agnes Adams, Krabby, alligator
Martin Murphy, Shellder, wildebeest
Jeremy Auer MD, Nidoqueen, koala
Jerrell Pagac, Growlithe, sardine
Charissa Fisher, Nidorino, ox
Macy Jerde, Beedrill, caribou
Adriane Flatley IV, Chansey, wildebeest
Jeffry Berge, Cloyster, macaw
Dr. Roxane Emmerich, Meowth, goldfish
Dick Muller, Chansey, impala
Kieth Bogisich, Parasect, impala
Gilma Harvey, Lickitung, lizard
Cecelia Bruen, Squirtle, bat
Bruce Predovic, Machamp, fly
Salena Tillman, Bellsprout, gerbil
Booker Marks, Charmeleon, porpoise
Bell Langworth, Muk, goose
Oliver Fahey, Seaking, pug
Jean Fay, Slowpoke, elephant
Ms. Delicia Gusikowski, Horsea, hippopotamus
Miss Efren Leuschke, Mankey, wasp
Gil Bode I, Tangela, bee
Son Lind MD, Weepinbell, buffalo
Lashay Ryan, Bellsprout, ant
Jackqueline Corkery, Tangela, skunk
Rolland Corkery, Mewtwo, gerbil
Leontine Block, Blastoise, camel
Mr. Vannessa Zieme, Chansey, cattle
Cyrus Steuber, Nidoran, deer
Alan Kiehn, Goldeen, rhinoceros
Samantha Kulas, Pidgey, fish
Dirk McDermott, Growlithe, kangaroo
Jamey Powlowski, Wigglytuff, leopard
Darrin Kihn, Haunter, hornet
Teddy Jones, Nidorina, raccoon
Jannette Marks, Nidoking, frog
Dorothy Lind, Nidorino, skunk
Tiera Hickle, Wartortle, yak
Ms. Raymon Roob, Krabby, zebra
Sang Douglas, Slowpoke, monkey
Ashley Beahan, Weedle, mink
Alejandrina Kautzer PhD, Gastly, beaver
Ollie Hamill, Krabby, fish
Miss Eddie Steuber, Ninetales, beaver
Mrs. Elmo Rogahn, Gastly, jellyfish
Miss Jude Leffler, Persian, eel
Miss Sherman Miller, Hypno, cockroach
Clinton Cassin, Machop, cattle
Virgil Williamson, Pidgeotto, mallard
