Genaro Gleichner, Kingler, tiger
Glynda Baumbach, Porygon, crow
Gwen Beier, Seel, chinchilla
Dionna Kuvalis, Snorlax, tortoise
Dr. Bo Grant, Grimer, clam
Robin Bruen, Raichu, gnu
Dr. Theo Brown, Metapod, trout
Mauro Langworth, Primeape, porcupine
Dino Heidenreich, Staryu, hare
Mr. Stephen Kreiger, Rhyhorn, hare
Sharon Bednar, Tangela, platypus
Virgil Toy I, Machamp, wildebeest
Miss Ulrike Mitchell, Wigglytuff, antelope
Dr. Roy Nitzsche, Raichu, mosquito
Ms. Omer Brown, Vaporeon, prairie dog
Dionne Wilkinson, Magikarp, toad
Pat Kohler, Bulbasaur, deer
Jada Brakus, Paras, seal
Nanci Bradtke, Slowpoke, minnow
Jeremiah Wolf, Victreebel, baboon
Kendrick Boehm, Gyarados, crocodile
Lovetta Cremin, Dratini, seal
Chadwick Reinger, Mew, ant
Alphonse Kub, Scyther, otter
Sylvester O'Conner, Articuno, clam
Mr. Jada Brown, Moltres, water buffalo
Bronwyn Feest, Staryu, dolphin
Alberta Cronin, Machamp, horse
Mr. Howard Rowe, Omanyte, jackal
Sydney Kiehn, Nidoqueen, koala
Marty Daniel, Squirtle, monkey
Terrance Bechtelar IV, Pidgeot, fly
Ramon Wilkinson, Cubone, fox
Marcelina Vandervort, Nidorina, cod
Dr. Woodrow Kilback, Clefable, otter
Kittie Hoppe IV, Venusaur, wildebeest
Ms. Joel Spencer, Weezing, eel
Leonard White V, Dragonite, duck
Dyan Adams, Primeape, prairie dog
Fernando Koch IV, Wartortle, fly
Debrah Schumm, Kabuto, raven
Reynaldo Kirlin, Lickitung, prairie dog
Mr. Raymonde Stoltenberg, Raichu, moose
Mr. Newton Kuhlman, Magnemite, cockroach
Rayna Price, Victreebel, minnow
Jerald Bartell MD, Squirtle, mouse
Cedrick Fahey I, Psyduck, wombat
Mr. Vincent Bernier, Alakazam, gorilla
Ms. Joan Gorczany, Primeape, gnu
Chester Kuphal, Oddish, mammoth
