Werner Flatley, Rapidash, buffalo
Ethel Conn Jr., Seaking, squirrel
Boyd Veum, Charmeleon, kangaroo
Mr. Lucrecia Gislason, Vileplume, kangaroo
Jody White, Nidoqueen, locust
Arvilla Welch, Rhydon, sardine
Frederic Watsica, Ivysaur, mouse
Sharie Kuphal, Tauros, cockroach
Lucas Casper DDS, Pinsir, antelope
Otilia Medhurst, Charmeleon, swan
Mollie Reynolds, Articuno, swan
Shirley Heller PhD, Raticate, bee
Rosanna Okuneva DDS, Graveler, raven
Omer Luettgen, Ditto, alligator
Aaron Brakus, Diglett, swan
Angella Treutel V, Mr. Mime, dolphin
Douglass Mraz, Shellder, tiger
Herman Murray, Parasect, goat
Temeka Gleichner, Slowbro, crocodile
Derick Hermann, Doduo, gnu
Miss Echo Kovacek, Ivysaur, salmon
Miss Beth Gottlieb, Lapras, seal
Basil Crona, Fearow, kangaroo
Darron Kemmer II, Ditto, louse
Dorla Cole I, Drowzee, chimpanzee
Art Bode V, Venusaur, cheetah
Abraham Purdy V, Tentacruel, hyena
Kyle Schamberger, Ditto, ape
Mrs. Darrel Renner, Beedrill, crocodile
Shyla Weimann, Shellder, goose
Dr. Gene Hilpert, Weedle, buffalo
Altha Padberg, Grimer, jackal
Dorsey Douglas, Arbok, sheep
Malorie Fahey I, Goldeen, elk
Amado Sauer, Mankey, wildebeest
Mr. Jettie Sawayn, Starmie, dinosaur
Madison Pfannerstill, Pidgeotto, weasel
Denita Gerhold, Exeggutor, moose
Cordie Hettinger, Weedle, hornet
Kennith Schmeler, Poliwag, hound
Nellie Koch, Lapras, duck
Jalisa Wehner, Kadabra, leopard
Dion Treutel V, Cloyster, gerbil
Leland West, Kakuna, ant
Kenton Schamberger, Fearow, herring
Kasey Crist, Scyther, seal
Miss Maile Lakin, Seaking, duck
Carroll Bergstrom II, Sandshrew, rat
Newton Hayes, Magmar, bat
Mrs. Heidi Borer, Koffing, snail
