Mrs. Allen Von, Hypno, termite
Elroy Carroll III, Onix, cheetah
Burt Langworth, Electrode, tortoise
Sharie Purdy, Magmar, oyster
Bryan Dicki DDS, Fearow, muskrat
Fumiko Senger, Caterpie, elephant
Olen Bauch DVM, Magikarp, antelope
Roosevelt Hilpert PhD, Rhyhorn, whale
Erasmo Hodkiewicz, Tauros, louse
Theresa Deckow, Pidgeot, tortoise
Cherilyn Purdy, Ekans, gnu
Horacio Kohler, Jynx, herring
Song Mraz, Ponyta, macaw
Antoine Terry, Arcanine, duck
Luis Larkin, Scyther, jellyfish
German Willms, Cloyster, mole
Ms. Buffy Stiedemann, Poliwhirl, sheep
Mrs. Shawanna Dickinson, Porygon, frog
Leon Dickinson I, Vaporeon, louse
Mr. Monroe Larson, Magnemite, muskrat
Shaunna Kautzer III, Victreebel, wolf
Jesse Willms PhD, Pikachu, mosquito
Whitney Kutch, Weedle, goose
Moriah Herzog, Exeggcute, monkey
Mr. Ruthe O'Kon, Kabuto, goose
Marion Stracke, Pidgeotto, toad
Bruno Bogan, Gastly, spider
Suanne Boehm, Tangela, dinosaur
Lamar Hills, Electrode, goldfish
Buford Cronin MD, Weepinbell, antelope
Micheline Gusikowski V, Seel, turtle 
Francisca Kreiger, Golbat, caribou
Dr. Alyssa Davis, Butterfree, reindeer
Mrs. Kortney Gaylord, Exeggcute, buffalo
Diego Langworth, Geodude, bee
Darnell Tromp, Machoke, hare
Wade Wilkinson, Kingler, hyena
Reginald Mayer, Chansey, mammoth
Jess Crist, Cubone, lion
Kristie Leffler, Pidgeotto, cricket
Margarite Hartmann, Kadabra, llama
Rosario Harris, Meowth, termite
Buster Hills, Nidorina, porcupine
Efrain Hodkiewicz, Zubat, guinea pig
Cecelia D'Amore, Sandslash, eel
Shon Rempel, Rapidash, snake
Ross Jacobson, Hypno, marten
Jessia Koelpin, Weezing, caribou
Miss Shirly O'Keefe, Pidgeotto, wallaby
Derick Borer, Slowbro, dinosaur
