Korey Stroman, Persian, trout
Odelia Kerluke, Mewtwo, camel
Colene Barton, Bellsprout, crocodile
Earl Hamill, Geodude, coyote
Mrs. Johnna Romaguera, Diglett, sea lion
Miss Lottie Gislason, Diglett, clam
Christal Olson IV, Nidoqueen, wallaby
Jeramy Klein Sr., Paras, grasshopper
Jack Mayert, Raichu, yellowjacket
Russel Windler, Eevee, koala
Caleb Haley, Graveler, crocodile
Hye Jakubowski, Dodrio, oyster
Codi Schultz, Omastar, termite
Bradly Nikolaus, Rhydon, buffalo
Ms. Kennith Price, Kadabra, squirrel
Mozell Bartell, Pikachu, tortoise
Mr. Shanel Emmerich, Growlithe, guinea pig
Dr. Michiko Wisozk, Mew, donkey
Cary Connelly, Kabutops, worm
Emory DuBuque, Exeggcute, salmon
Mrs. Patti Herzog, Poliwag, eel
Ms. Maryann Reichel, Jigglypuff, alligator
Mr. Trang Green, Wigglytuff, seal
Alise Funk, Kadabra, gerbil
Zachariah Considine Sr., Spearow, camel
Isaiah Graham Sr., Dratini, hamster
Lonna Ryan, Muk, manatee
Hortencia Ondricka, Golduck, crab
Rickey Wintheiser, Pikachu, tortoise
Miss Toby Romaguera, Cubone, leopard
Mr. Torri Nicolas, Dugtrio, antelope
Mr. Mel West, Machoke, camel
Vena Fadel I, Ditto, mallard
Evon Kreiger, Omastar, coyote
Ms. Earnestine Gibson, Arcanine, bear
Ms. Leila Kreiger, Kakuna, platypus
Dr. Carolann O'Conner, Meowth, mink
Carey Swaniawski, Nidoran, goat
Rubin Schuppe Sr., Seel, goat
Chuck Schmitt, Machamp, mammoth
Season Kris, Dragonite, pig
Marine Hettinger II, Meowth, rat
Louvenia Morissette, Primeape, toad
Jere Runolfsdottir MD, Seaking, mouse
Cherelle Larson, Electabuzz, elk
Sierra Stanton, Haunter, pug
Pinkie Nitzsche, Shellder, beetle
Neoma Batz, Pidgey, butterfly
Barrett Breitenberg, Jolteon, donkey
Jerri Wunsch DVM, Nidoran, lion
