Leslie Waelchi, Slowpoke, lizard
Cletus Bradtke, Hitmonchan, jellyfish
Sung Koss I, Venonat, pig
Dr. Huey Hermann, Slowbro, mink
Mrs. Ivan Waelchi, Growlithe, hound
Stefan Lockman, Beedrill, dog
Weston Homenick, Horsea, porcupine
Dr. Janyce Heathcote, Nidoqueen, beetle
Cortney Romaguera, Drowzee, eel
Leora Romaguera III, Flareon, cricket
Belen Hamill, Drowzee, raccoon
Ashanti Carter PhD, Meowth, serval
Mario Collins MD, Jynx, rabbit
Jackelyn Macejkovic, Jigglypuff, termite
Lamont Cummings, Ekans, mosquito
Maryann Bradtke, Kabuto, elk
Rodrigo O'Reilly, Zubat, ferret
Mr. Domingo Waters, Articuno, gorilla
Delmer Stroman, Kadabra, turtle 
Joie Renner, Nidorino, toad
Eura Thiel, Zapdos, yak
Buck Cormier, Clefable, hyena
German Ortiz, Drowzee, coyote
Carrol Smitham, Farfetch'd, fish
Gene Jacobson, Gloom, porcupine
Ramon Roob, Goldeen, yak
Caroyln Hessel, Grimer, horse
Tristan Haley, Clefairy, rhinoceros
Kathey Reichert V, Pidgey, mole
Shelby Hane, Rapidash, pig
Grant Franecki, Rhydon, yak
Mr. Shandi Hartmann, Ninetales, butterfly
Araceli Weimann, Bellsprout, porpoise
Joey Heaney, Pikachu, impala
Otha Boyle, Clefable, jackal
Jacquline Botsford, Machop, yellowjacket
Millard Little, Chansey, raccoon
Dr. Victor Ziemann, Gyarados, hyena
Jc McKenzie, Staryu, crocodile
Owen Volkman, Primeape, trout
Porter Schultz, Raticate, monkey
Norbert Christiansen, Nidorino, snake
Edris Zemlak, Wartortle, crocodile
Shawnee Johnston II, Machoke, guinea pig
Beau Senger I, Clefairy, beetle
Israel Funk Jr., Charmeleon, lizard
Miss Kirby Hane, Farfetch'd, armadillo
Daron Wolf, Geodude, impala
Ms. Barbar Huels, Sandslash, llama
Markus Gaylord, Staryu, toad
