Jenny Stark PhD, Golduck, lizard
Carlton Huels, Kadabra, hound
Angel Murray, Kangaskhan, worm
Armando Johns IV, Poliwhirl, rhinoceros
Jonah Reynolds DDS, Weepinbell, cricket
Mrs. Rob Ledner, Beedrill, whale
Houston Cassin, Dugtrio, yak
Lucila Gleason, Drowzee, bat
Miss Sherlene Tromp, Parasect, cod
Cari Balistreri, Omanyte, serval
Prince Armstrong, Grimer, hornet
Awilda Herman, Charizard, worm
Deidre Schneider, Wartortle, rat
Yajaira Ortiz, Koffing, mule
Mr. Lekisha Swift, Gloom, rat
Mr. Kerstin Skiles, Exeggcute, wolf
Miss Ed Predovic, Poliwrath, caribou
Ms. Numbers Wilderman, Hitmonlee, zebra
Broderick Wuckert, Charmeleon, wolf
Seymour Pfeffer, Farfetch'd, baboon
Armando Satterfield, Ivysaur, chinchilla
Nancy Kerluke Sr., Hitmonchan, deer
Elisha Walter, Mew, badger
Jewell Ledner, Chansey, fox
Roslyn Jaskolski, Grimer, mallard
Charlie Hickle, Seadra, serval
Mr. Basil Kshlerin, Blastoise, seal
Ramiro Borer I, Charizard, mosquito
Cedric Mante II, Weedle, scorpion
Molly Bosco, Omanyte, prairie dog
Marilynn Leannon, Dewgong, wallaby
Myrle Zboncak, Electabuzz, minnow
Cole Heaney, Rhydon, porpoise
Mrs. Clark Durgan, Victreebel, cod
Angelia Abernathy, Abra, cat
Ms. Ronda Schmidt, Metapod, hippopotamus
Miss Chas Baumbach, Magikarp, trout
Williams Larson PhD, Nidoqueen, cricket
Collin Huel, Rhyhorn, badger
Rolando Mante, Seaking, hyena
Verda Brakus, Pidgeot, tortoise
Emmett Grimes, Gyarados, moose
Son Witting, Blastoise, alligator
Terrance Schaden DVM, Jigglypuff, dolphin
Marline Smith, Charizard, marten
Soila Hills, Weepinbell, frog
Mrs. Adela Harber, Parasect, buffalo
Jerry Boehm, Exeggutor, leopard
Yon Oberbrunner, Slowpoke, coyote
Gayle Ernser IV, Raichu, cheetah
