Arron D'Amore, Flareon, turtle 
Mckinley Rowe, Doduo, prairie dog
Lindsey Goldner, Aerodactyl, pug
Vernita Erdman, Charizard, raven
Russ Olson, Haunter, armadillo
Jules Feil, Electrode, tiger
Melvin Mosciski, Poliwhirl, rat
Carroll Lueilwitz, Psyduck, baboon
Broderick Terry, Magneton, llama
Stacee Quigley, Metapod, reindeer
Darell Grady, Poliwhirl, sardine
Arnita Crona, Raichu, jellyfish
Linda Kling, Magmar, woodchuck
Blake Harvey, Electabuzz, chimpanzee
Duncan Turner V, Persian, deer
Mr. Jennell Bosco, Gastly, mammoth
Maurine Rogahn, Alakazam, cattle
Mrs. Salome Murphy, Poliwag, butterfly
Yael Donnelly, Squirtle, hornet
Corrinne Schiller, Rhyhorn, sea lion
Ronnie Brakus I, Shellder, buffalo
Alyson Mueller I, Poliwag, termite
Luciano Gleichner, Charizard, leopard
Jesse Hayes, Vulpix, elephant
Burt Nitzsche, Vileplume, rat
Merrill Kulas, Nidoking, trout
Dr. Ward Jacobi, Nidorino, crow
Minh Hermann DVM, Seel, mouse
Forrest Kub II, Nidorino, llama
Carlton Simonis, Hypno, mink
Judson Parisian, Vaporeon, giraffe
Moses Brown, Weedle, sea lion
Ms. Zane Legros, Ivysaur, serval
Norman VonRueden I, Paras, water buffalo
Rupert Ratke, Kabuto, ferret
Mertie Kihn, Blastoise, beaver
Alberta Klocko, Sandshrew, cheetah
Ms. Herschel Hermiston, Zapdos, impala
Cruz Marks MD, Alakazam, ape
Melva Walter, Ninetales, yellowjacket
Sima Jakubowski, Wigglytuff, grasshopper
Shawanda Heathcote, Persian, muskrat
Merilyn Treutel, Caterpie, lizard
Laurie Herman, Dragonair, leopard
Viviana Watsica, Ivysaur, mouse
Kelly Hand, Alakazam, chinchilla
Myesha Okuneva, Charizard, baboon
Dr. Phoebe Ledner, Alakazam, hippopotamus
Hollis Schaefer, Electabuzz, deer
Scarlett Torp, Exeggcute, donkey
