Eilene McCullough, Wigglytuff, elk
Giuseppina Ullrich, Tentacool, rat
Ms. Jennefer Bahringer, Gastly, cicada
Iluminada O'Reilly DDS, Weedle, hound
Kemberly Aufderhar, Slowbro, walrus
Luana Senger, Voltorb, alligator
Arlene Heidenreich, Eevee, hare
Willian Greenfelder, Grimer, fish
Nelly Kerluke, Ninetales, camel
Jamel Swaniawski I, Exeggcute, hamster
Cayla Schneider, Nidorina, duck
Elwood Kautzer PhD, Charmeleon, oyster
Mr. Tequila Terry, Hitmonchan, locust
Edward Gleason, Gengar, bee
Ms. Scottie Dach, Nidorina, wolf
Hai Lockman, Graveler, armadillo
Sean Bogisich MD, Magneton, cod
Catarina Boehm, Farfetch'd, prairie dog
Brittaney Koss, Horsea, badger
Ms. Laverne Hermann, Dragonair, crocodile
Nestor Bayer, Chansey, hyena
Kenna Ernser, Wigglytuff, alligator
Sung Bernier, Bulbasaur, zebra
Janel Powlowski PhD, Machoke, caribou
Jimmie Schmidt, Hitmonlee, gnat
Lakia Windler, Goldeen, tiger
Daria Turcotte, Poliwag, rhinoceros
Dino Schaefer MD, Dratini, monkey
William Cummerata, Golem, jellyfish
Alexa Willms DVM, Jolteon, elk
Isela Haley IV, Kakuna, hamster
Donnell Reilly, Pidgey, termite
Mr. Darla Streich, Electrode, guinea pig
Miss Magdalen Prosacco, Weedle, leopard
Wilber Strosin, Dragonair, crab
Ms. Rene Schmitt, Pikachu, hyena
Kurt Wunsch, Dratini, eel
Hong Kuhn, Cubone, hornet
Tomoko Franecki, Flareon, pig
Yen Glover, Krabby, duck
Gary Vandervort Sr., Clefairy, ox
Mohammad Reichert DVM, Tauros, cod
Cortez Kuhic Sr., Venonat, prairie dog
Jayson Schowalter, Dratini, cat
Carissa Senger, Mankey, fox
Ilana Cartwright, Bulbasaur, yak
Dorie Mosciski, Hitmonchan, porpoise
Christal Cruickshank, Dragonair, eel
Miquel Morar, Tangela, impala
Sallie Johnson, Vileplume, otter
