Britni Dooley I, Cloyster, rabbit
Ms. Edward Fritsch, Gastly, fox
Tempie Kihn, Poliwrath, alpaca
Kris Nikolaus, Nidorino, squirrel
Denis McCullough Sr., Scyther, mosquito
Lilliana Christiansen, Magneton, walrus
Oralee Wisozk, Kabuto, bee
Freddie Fay Jr., Pikachu, gorilla
Chad Kuhn, Voltorb, scorpion
Ms. Christoper Beier, Dragonair, ape
Mose Satterfield, Caterpie, goat
Shemika Sporer DVM, Farfetch'd, buffalo
Eugene Mosciski, Golduck, bear
Miss Vince Jerde, Wigglytuff, spider
Whitney Glover Jr., Ditto, cicada
Anissa Anderson, Sandslash, impala
Ike Reichert II, Slowpoke, serval
Alphonso Bode, Zubat, duck
Ivory Pacocha, Weezing, zebra
Janelle Terry, Snorlax, mole
Mrs. Elease Brekke, Gyarados, grasshopper
Delmer Steuber, Omanyte, ant
Elina Murazik III, Doduo, cattle
Sal Lehner, Dratini, crab
Ossie Schuster, Nidoqueen, cheetah
Tomiko Stracke II, Starmie, ant
Elvia Hudson, Weepinbell, woodchuck
Robbi Lubowitz, Kingler, cat
Dr. Yesenia Stanton, Magneton, swan
Ms. Anderson Flatley, Paras, porpoise
Carlos VonRueden II, Kangaskhan, crocodile
Armando Parisian, Blastoise, deer
Ulysses Huels, Spearow, lizard
Michele Williamson, Gengar, water buffalo
Pam Cummerata, Rapidash, water buffalo
Jina Grant, Jynx, lion
Raymundo Wintheiser V, Exeggcute, impala
Debora Rau, Jolteon, fish
Mrs. Sacha Runte, Horsea, water buffalo
Gabriel Wehner, Arbok, mink
Dr. Marguerita Herzog, Primeape, impala
Lawrence Zboncak PhD, Golduck, weasel
Jerilyn Pacocha DDS, Kingler, goat
Mrs. Latonya Yost, Spearow, sardine
Mr. Hanh Kohler, Ponyta, cheetah
Logan Beahan V, Kabuto, goose
Josiah O'Reilly, Victreebel, coyote
Tanesha Dibbert, Dugtrio, crow
Mrs. Leon Cartwright, Abra, goat
Katie Shields, Clefairy, rabbit
