Rusty Luettgen Sr., Weedle, fox
Tona Spinka, Voltorb, shark
Eboni Stanton II, Marowak, deer
Diana Klocko Sr., Golem, water buffalo
Laveta Wehner, Growlithe, moose
Justin Bayer, Goldeen, gnat
Mathew Daniel, Weezing, salmon
Cedrick Boyer, Poliwhirl, eel
Tyrone Leannon, Hitmonchan, gerbil
Beula Halvorson, Venonat, cicada
Yee Kuphal, Slowpoke, gorilla
Mrs. Del Dietrich, Rhydon, chimpanzee
Dewayne Jakubowski, Oddish, zebra
Mary Lemke, Exeggcute, alligator
Colton Dooley, Raticate, wildebeest
Ariel Baumbach II, Ivysaur, llama
Genia Renner, Poliwrath, caribou
Miss Josh White, Kadabra, mammoth
Rashad Witting, Seadra, oyster
Ricky Klein, Starmie, ox
Teddy Little, Ditto, porpoise
Jospeh Leffler, Shellder, muskrat
Quincy Kutch, Hitmonchan, hornet
Xuan Corwin, Kangaskhan, muskrat
Raymundo Rosenbaum, Wartortle, yellowjacket
Dr. Ahmad Moen, Geodude, crow
Grady Jaskolski III, Psyduck, hornet
Hoa Lakin, Exeggutor, hornet
Luther Feest, Weedle, hornet
Carmon Zieme, Butterfree, water buffalo
Beula Flatley, Ponyta, yak
Mr. Armand Beier, Metapod, yak
Daniell Smith, Flareon, seal
Dr. Gabriel Blick, Ivysaur, herring
Lynwood Quitzon, Arcanine, mallard
Hector Connelly, Psyduck, hound
Ms. Sheree Bernhard, Primeape, coyote
Jefferson Daugherty, Doduo, gorilla
Chas Gutkowski, Geodude, ape
Charline Bernhard, Porygon, rhinoceros
Shantelle McDermott, Starmie, rabbit
Hui Labadie, Pikachu, mammoth
Elinore Metz, Kangaskhan, herring
Traci Jakubowski, Golduck, toad
Willodean Spencer, Nidoqueen, termite
Ji Rath, Snorlax, woodchuck
Avery Carter, Lickitung, seal
Harland Walter, Aerodactyl, raccoon
Sharell Jenkins, Machoke, crocodile
Lavern O'Kon, Caterpie, sheep
