Orville Larkin, Abra, mule
Miss Meryl Johnston, Charizard, turtle 
Sebastian Bernier, Poliwag, wasp
Ms. Dario Prosacco, Exeggcute, macaw
Mr. Reagan O'Keefe, Wigglytuff, moose
Loida Powlowski, Articuno, badger
Erma Fay, Articuno, chimpanzee
Napoleon Cremin Jr., Machoke, chimpanzee
Francisco Zieme, Psyduck, bat
Sammy Lakin, Pikachu, donkey
Otis Nitzsche, Mewtwo, kangaroo
Vernita Strosin, Magmar, snail
Amira Bernhard, Moltres, mosquito
Marilyn Johns, Snorlax, cheetah
Ms. Lakita Tillman, Growlithe, cicada
Marinda Spencer, Scyther, bat
Lonnie Bednar, Poliwag, bear
Tommy Mitchell, Abra, porpoise
Ora Kreiger, Charmeleon, turtle 
Tony Langworth, Mr. Mime, gorilla
Caroline Gerlach, Starmie, eagle
Royce Bednar, Pinsir, minnow
Roger Stokes, Pidgey, trout
Hoyt Towne, Shellder, sardine
Letha Roberts Sr., Doduo, gnat
Dr. Sage Metz, Raticate, alligator
Herschel Grimes, Hitmonlee, rabbit
Armando Leuschke, Nidorina, dolphin
Yong Schneider, Flareon, badger
Dr. Perry Sawayn, Hitmonchan, wombat
Shad Legros, Ekans, duck
Ms. Yadira Schumm, Cloyster, butterfly
Mark Romaguera, Nidoran, dolphin
Jeanelle Keebler, Alakazam, koala
Mable Kling, Dodrio, termite
Vicki Nader, Electabuzz, crow
Carey Predovic, Weepinbell, ferret
Sara Wilkinson, Voltorb, walrus
Kathy Labadie, Slowpoke, walrus
Mrs. Anderson Heidenreich, Voltorb, woodchuck
Giuseppe Schowalter, Sandslash, rhinoceros
Eli Batz PhD, Doduo, antelope
Augustine Howell, Persian, dolphin
Kallie Fahey, Dratini, goose
Paris Quigley, Venusaur, toad
Joesph Schinner V, Rhydon, gnu
Miss Amos Hettinger, Pinsir, mosquito
Stasia Weber, Shellder, bear
Efrain Marks, Nidoran, termite
Delcie Nicolas, Tauros, sheep
