Royal Lebsack, Magneton, cockroach
Mira Champlin, Nidoran, mammoth
Daniel Collier, Rapidash, duck
Dr. Chi Deckow, Kakuna, seal
Anh Koss PhD, Metapod, trout
Beata Bauch, Seel, prairie dog
Mrs. Jaye Mueller, Pinsir, alpaca
Yolonda Hegmann, Kangaskhan, oyster
Nick Goodwin DDS, Magikarp, goat
Lashandra Rolfson, Beedrill, yellowjacket
Art Kiehn, Blastoise, muskrat
Tona Nolan MD, Gyarados, louse
Kimberly O'Keefe, Pikachu, ant
Huey Ankunding, Raichu, termite
Delena Grant, Bellsprout, wombat
Millie Bechtelar, Mr. Mime, gnu
Leopoldo Ryan, Geodude, fox
Florine Padberg, Hitmonlee, elk
Mrs. Linwood Murphy, Cloyster, mammoth
Coleman Waters, Tangela, goldfish
Noe Balistreri, Magnemite, badger
Ms. Delmar Barton, Squirtle, butterfly
Miss Hollie Kovacek, Venomoth, duck
Merrie Cormier I, Jigglypuff, jellyfish
Kanesha Swaniawski, Caterpie, armadillo
Andy Walker, Meowth, beetle
Yasmin Hermiston, Slowpoke, mole
Monica Williamson, Flareon, sardine
Rolando Olson, Hitmonlee, sheep
Ramon Hickle, Venusaur, otter
Dot Reinger, Vaporeon, gnu
Mahalia Hudson, Omanyte, seal
Byron Rippin, Hitmonchan, armadillo
Noel Ferry, Clefairy, elephant
Stepanie Rowe, Shellder, lizard
Carl Beer Sr., Psyduck, frog
Maye Auer, Victreebel, impala
Natosha Parker, Primeape, donkey
Dr. Karri Koch, Nidorina, manatee
William Welch, Geodude, macaw
Otto Walsh Jr., Gastly, yak
Grisel Feest, Mew, trout
Shenna Reichert, Wartortle, yellowjacket
Vance Erdman, Venusaur, kangaroo
Frederick Schulist, Pidgeot, cattle
Miss Hiram Erdman, Haunter, yak
Towanda Konopelski, Weezing, snail
Gracia Bosco, Butterfree, rabbit
Arlen Wolf II, Diglett, herring
Luciano Haley MD, Koffing, cicada
