Consuela Hills, Charmeleon, cricket
Ms. Dudley Witting, Jynx, seal
China Hyatt, Raichu, yak
Tomeka Tremblay, Bulbasaur, badger
Jaclyn Abernathy, Ditto, impala
Dyan Harris, Electrode, elk
Solange Schaden, Rattata, fox
Tennie Kris, Geodude, seal
Trenton Toy, Gloom, fish
Florencio Vandervort, Rattata, mink
Albertha Davis, Mankey, mole
Andra Weissnat, Weezing, termite
Basilia Bode, Ditto, grasshopper
Joe Jaskolski, Abra, herring
Dyan McKenzie, Weezing, bee
Tessa Spencer Sr., Electrode, horse
Teddy Rath, Victreebel, frog
Winford Emmerich, Eevee, trout
Salvatore Ruecker, Gyarados, ape
Luanne Mills, Wigglytuff, armadillo
Todd Yost Jr., Caterpie, cattle
Dr. Shawn Fay, Ninetales, mule
Basil McKenzie, Ponyta, snake
Tomika Wintheiser, Articuno, ox
Nickolas Goldner, Gastly, cattle
Mable Kovacek, Eevee, cat
Loan Wunsch, Venonat, armadillo
Leigh Emmerich III, Venonat, sheep
Miss Jim Johnston, Voltorb, shark
Miss Blanca Windler, Cubone, pig
Dr. Marilou Russel, Pidgeotto, cattle
Antony Rice, Venusaur, deer
Leslie Haag, Victreebel, gnat
Birgit Walker, Kingler, ape
Ebony Flatley, Jolteon, mosquito
Ammie McKenzie, Omanyte, kangaroo
Mafalda Schaden, Mr. Mime, bat
Roland Goodwin, Butterfree, armadillo
Pennie Lebsack, Persian, oyster
Lani Lehner MD, Moltres, lizard
Pilar Fisher, Chansey, koala
Edith Bogan, Hypno, antelope
Peter Doyle, Charmander, gorilla
Kareen Friesen I, Slowpoke, giraffe
Adelaida Dare, Haunter, goldfish
Miss Melany Hansen, Nidorina, dolphin
Mrs. Alexis Friesen, Ivysaur, eagle
Regena Waters PhD, Venonat, alpaca
Joey Daugherty, Diglett, mammoth
Mr. Audrea Gusikowski, Vulpix, llama
