Alfredo Wilkinson, Magneton, horse
Emmitt McCullough, Articuno, goat
Dr. Dave Hoppe, Chansey, bee
Trudy Raynor DDS, Primeape, sardine
Zachary Hilpert, Moltres, horse
Mrs. Jude Hilll, Bulbasaur, spider
Herman Graham, Nidorino, ant
Leslie Collier, Machamp, mule
Dee Lind DVM, Pidgey, sardine
Percy Brakus, Seel, rat
Lavona Heathcote, Weezing, wasp
Amy Welch IV, Snorlax, wildebeest
Barton Nolan, Rattata, manatee
Darron Deckow, Gengar, cockroach
Mr. Arthur Wilkinson, Golbat, jellyfish
Tim Nienow, Starmie, bee
Cyndi Crist IV, Omastar, fish
Dr. Irene Hettinger, Ivysaur, buffalo
Kerrie Ritchie, Eevee, swan
Gwendolyn Renner I, Geodude, crow
Dr. Evelina Kemmer, Clefable, salmon
Georgia Schamberger II, Gengar, hornet
Dr. Tawna Ruecker, Ekans, beaver
Ms. Arron Cruickshank, Cubone, mammoth
Rocky Wehner, Krabby, porpoise
Mitchell Hand, Pidgeot, worm
Miss Minnie Jones, Jolteon, panda
Thaddeus Kunze, Spearow, mink
Mr. Valentine Jacobi, Doduo, rat
Alton Gerhold, Marowak, reindeer
Christinia Stroman V, Zapdos, gorilla
Clorinda Auer, Mew, tortoise
Margarite Connelly, Rapidash, horse
Dr. Desire Kshlerin, Zapdos, baboon
Marcelino Streich, Butterfree, guinea pig
Doyle Hane V, Cubone, swan
Lauralee Spencer, Porygon, serval
Dianna Mann, Krabby, jellyfish
Lorenzo Altenwerth, Tentacruel, goose
Clark Ward, Doduo, water buffalo
Dr. Tamekia Kreiger, Omastar, dog
Brice Kemmer, Gyarados, grasshopper
Tennie Hirthe, Moltres, oyster
Juliet Hoeger, Hypno, sardine
Gino Breitenberg, Parasect, fox
Addie Roberts, Clefable, hound
Moshe Boyle, Pidgeot, deer
Stanley Torphy Jr., Magikarp, cheetah
Michal Kohler, Electabuzz, elephant
Lauryn Mraz, Hypno, pug
