Ethel Kertzmann III, Poliwhirl, impala
Otis Mueller, Metapod, rhinoceros
Genny Kovacek I, Metapod, chimpanzee
Miss Keitha Hickle, Venomoth, ox
Alecia Cronin Sr., Cloyster, whale
Janae Aufderhar, Nidoqueen, grasshopper
Ms. Zella Conn, Golbat, antelope
Neida Lynch, Golem, ant
Milton Luettgen, Pinsir, caribou
Coletta Wehner I, Gloom, grasshopper
Irma Lind IV, Exeggutor, elk
Douglass Purdy, Slowpoke, pug
Byron Emard MD, Omastar, gorilla
Oswaldo Heaney, Wigglytuff, lizard
Cathey O'Hara, Kabutops, hound
Thora Padberg, Zapdos, salmon
Mrs. Syreeta Torphy, Meowth, crab
Thanh Abernathy, Seadra, rhinoceros
Ms. Carrol Boehm, Kabutops, antelope
Bo Sanford II, Jolteon, mouse
Evette Hermiston, Koffing, gerbil
Kit Ullrich, Slowbro, porpoise
Virgie Gleichner II, Weepinbell, fox
Antione Cartwright, Sandshrew, beetle
Angeline Harvey, Haunter, tiger
Ginger Ebert IV, Machop, mosquito
Minda Kirlin Sr., Raichu, bat
Ms. Ken Glover, Oddish, elephant
Nicolas Wisozk, Caterpie, macaw
Rodger Morissette, Vileplume, mink
Emerson Blick IV, Magmar, macaw
Maudie Hermiston, Ninetales, cod
Ebony Kunde, Ponyta, buffalo
Domenic Jenkins, Poliwag, mule
Patrick Lehner, Omastar, horse
Gussie Abbott DDS, Rattata, salmon
Emmanuel Hudson, Seel, porcupine
Wallace Bartoletti III, Psyduck, porpoise
Roseline Kemmer, Sandslash, cheetah
Alexander Johns, Exeggcute, yak
Miss Abbey Nader, Dewgong, yak
Bret Gleichner, Spearow, rabbit
Margarite Dicki, Scyther, tortoise
Dr. Ralph Mills, Machamp, macaw
Rosario Muller, Rattata, camel
Pat Goyette, Alakazam, spider
Santos Von Jr., Tangela, moose
Indira Hagenes, Arbok, wasp
Mrs. Nicola Marks, Diglett, hyena
Sabrina Kessler, Aerodactyl, monkey
