Amina Blick V, Pidgey, llama
Candida Frami, Ninetales, antelope
Voncile Jerde, Mewtwo, sea lion
Terrell Harvey, Fearow, chinchilla
Janiece Mills, Venomoth, ferret
Theo Heaney, Ponyta, sheep
Oswaldo Schaden, Vaporeon, shark
Dr. Demarcus Bradtke, Hitmonchan, goat
Guadalupe Hilpert, Dodrio, cattle
Moises Nitzsche, Dratini, koala
Ms. Enrique Schuppe, Lickitung, serval
Piper Harris, Charmander, reindeer
Rosamond Lesch, Charmander, salmon
Ms. Evangelina Strosin, Haunter, minnow
Arlie Veum, Mr. Mime, wolf
Ms. Jose Hagenes, Lickitung, eel
Elton Stoltenberg DDS, Shellder, wasp
Reuben Toy, Metapod, sardine
Ellis Schuppe, Horsea, cod
Elfreda Wisoky, Gengar, deer
Miss Antwan Miller, Golem, hound
Helene Boyle, Machop, deer
Joesph Streich, Rhyhorn, leopard
Ms. Miquel Hirthe, Clefairy, badger
Mrs. Vince Smith, Nidoran, prairie dog
Oswaldo Stiedemann, Graveler, crow
Rayford Zboncak IV, Pikachu, tortoise
Ms. Hang VonRueden, Pidgeot, mammoth
Classie Haag IV, Cloyster, salmon
Stefan Larkin, Persian, crocodile
Walter Johnston, Caterpie, manatee
Myong O'Kon, Nidoran, sea lion
Marceline Rath, Omastar, raven
Reina Christiansen, Dragonite, trout
Dirk Runolfsdottir, Exeggcute, koala
Porter Hoeger, Abra, raccoon
Vernon Lueilwitz, Tentacruel, seal
Mrs. Jarod Kshlerin, Charizard, oyster
Rob Konopelski, Slowbro, deer
Lashaun Murray DDS, Lapras, beetle
Annemarie Zieme, Goldeen, kangaroo
Aiko Hand, Seel, ferret
Clyde Schmidt, Porygon, snake
Dolly Jacobson MD, Ivysaur, serval
Kia Murray, Weezing, mouse
Gabriel Kessler, Bellsprout, reindeer
Mrs. Rodrigo Shanahan, Tentacruel, turtle 
Sheilah Welch PhD, Mr. Mime, zebra
Elroy Schuppe, Clefairy, baboon
Elwood Trantow, Poliwhirl, bat
