Lakenya Lueilwitz, Seel, chinchilla
Gabriel Skiles, Dugtrio, goat
Mr. Aubrey Tromp, Exeggutor, snail
Jaye Kunze, Marowak, mink
Michal Altenwerth, Rattata, grasshopper
Oralee Morissette V, Koffing, trout
Mathew Crona I, Psyduck, oyster
Oralee Beatty, Haunter, rabbit
Marge Boyer MD, Hitmonchan, spider
Mrs. Shelli Barrows, Dugtrio, hippopotamus
Ms. Patrica Marvin, Omastar, mule
Lucius Yost, Voltorb, cod
Hector Durgan, Poliwhirl, termite
Cody Torp, Butterfree, impala
Woodrow Schiller V, Voltorb, panda
Ranae Upton, Staryu, toad
Carline Gerlach IV, Cubone, scorpion
Sammy Wunsch, Blastoise, wildebeest
Marge Schultz, Dewgong, kangaroo
Lenna Hane MD, Seaking, cat
Hiram Bins, Haunter, chimpanzee
Miss Ross Schoen, Gyarados, fish
Suzette Cruickshank, Kabuto, crab
Mrs. Virgil Dare, Magneton, crocodile
Devin Hammes IV, Tentacool, zebra
Mrs. Shira Bashirian, Ekans, minnow
Jacinto Satterfield, Graveler, salmon
Julianna Crooks PhD, Poliwrath, cat
Norman Stokes, Magneton, dolphin
Talitha Daniel, Kingler, manatee
Ruthanne Boyer, Parasect, fox
Arlette Raynor, Drowzee, prairie dog
Bonnie Windler, Dratini, gnu
Lamonica Swaniawski V, Mew, manatee
Therese Quitzon, Beedrill, lion
Gregg Marvin MD, Vaporeon, toad
Timothy Gibson MD, Hypno, herring
Keli Prohaska, Primeape, porcupine
Lyndsey Shields, Zapdos, leopard
Jeramy Ankunding V, Marowak, toad
Kristan Langosh, Poliwhirl, wolf
Chadwick McCullough, Rhydon, herring
Logan Robel, Golbat, mink
Noe Dooley, Golbat, gerbil
Betty Hauck, Rhyhorn, otter
Karmen Turcotte, Pikachu, horse
Carlton Hudson, Dodrio, wolf
Ms. Booker Hyatt, Seadra, snail
Kimberly Kovacek, Clefairy, wasp
Imelda Schamberger, Lapras, woodchuck
