Charmain Rippin, Geodude, donkey
Palma Spencer, Persian, moose
Clark Ankunding, Koffing, beaver
Donnie Daugherty, Poliwhirl, hornet
Carlton Ziemann, Pidgeot, yak
Cleotilde MacGyver, Slowbro, trout
Mrs. Nan Morar, Ninetales, dolphin
Collene Rohan DVM, Psyduck, crow
Gayle Gerlach DDS, Seel, fish
Dr. Treva Toy, Grimer, swan
Cortney Hegmann I, Nidorina, cricket
Cris Hills MD, Butterfree, hamster
Renetta Hayes, Weepinbell, horse
Mr. Vito Schuster, Poliwrath, snake
Orville Ward, Marowak, mink
Lamar Lakin, Kabutops, elephant
Tom Rutherford III, Mew, termite
Shayne Fahey, Vileplume, sheep
Aldo Medhurst, Weedle, macaw
Arlie Murazik, Kabuto, gnat
Norman Ebert, Rhyhorn, scorpion
Georgia Adams, Dewgong, turtle 
Levi Zboncak, Poliwrath, cattle
Clifford Schiller, Marowak, toad
Palmira Feest, Machop, zebra
Grace Raynor, Ivysaur, impala
Augustine Skiles, Staryu, weasel
Maxie Koelpin, Zubat, alpaca
Tonya Hane, Mewtwo, gerbil
Miss Elbert Shanahan, Zubat, toad
Miss Melvin Heaney, Dratini, termite
Ligia Veum, Tangela, shark
Andres Von, Abra, mallard
Craig Kuphal, Koffing, manatee
Craig Feest, Gyarados, goldfish
Maxine Kiehn MD, Doduo, raccoon
Sun Keebler, Blastoise, squirrel
Dorris Ankunding PhD, Shellder, hedgehog
Ms. Micheal O'Connell, Spearow, jackal
Mr. Claudio Osinski, Doduo, lion
Leila Lehner, Slowbro, hippopotamus
Mr. Dorethea Rippin, Nidoran, crocodile
Foster Ferry, Exeggcute, pug
Julian Orn, Horsea, gerbil
Ms. Reuben Douglas, Clefable, mole
Loan Kuvalis, Venonat, duck
Floyd Tromp, Blastoise, gorilla
Gertrude Stroman, Pinsir, macaw
Miss Venice Barton, Magneton, impala
Cecilia Durgan, Nidorino, elk
