Cary Graham IV, Scyther, crab
Penni Cole, Clefable, giraffe
Ms. Kaylee Herman, Rhydon, seal
Wilson Bernier, Nidorino, gnu
Arie Monahan III, Grimer, cattle
Mrs. Duane Walter, Diglett, buffalo
John Walsh, Abra, wasp
Yoshie Kautzer, Electabuzz, ox
Galen Kunze II, Horsea, rat
Jaime Ullrich, Omastar, fox
Lelia Shanahan, Doduo, minnow
Dr. Mariano Borer, Raichu, coyote
Erminia Hirthe, Poliwag, dog
Johnie Waters IV, Hitmonchan, goose
Xavier Hilpert I, Rhydon, worm
Toccara Leannon MD, Lapras, porpoise
Kasey Schuppe, Jigglypuff, beetle
Kiyoko Armstrong, Krabby, badger
Miss Ben Yost, Dragonair, reindeer
Humberto Hettinger, Blastoise, woodchuck
Jerold Maggio, Nidoran, tiger
Lavonna Hodkiewicz, Metapod, fox
Sunni Wunsch DVM, Jolteon, porcupine
Garland Mayer, Clefairy, impala
Daren Krajcik DDS, Oddish, goldfish
Jefferson Oberbrunner V, Golem, caribou
Maisie Medhurst, Slowpoke, worm
Gabriel Harris Sr., Weedle, minnow
Carlo Rau, Aerodactyl, muskrat
Miss Roland Conroy, Doduo, hedgehog
Clinton Conn, Zapdos, beaver
Alva Armstrong, Pidgey, moose
Miss Douglass Larson, Vulpix, cod
Pat Heidenreich, Alakazam, salmon
Santiago Upton, Rapidash, shark
Mee Kuhlman, Geodude, hare
Juliette Yundt I, Nidoking, deer
Elwood McCullough, Doduo, yak
Elisabeth Corwin, Slowbro, monkey
Keeley Kessler, Magnemite, raven
Mr. Fred Okuneva, Clefairy, raccoon
Ike Walter, Golduck, yak
Chas Mann, Goldeen, sheep
Delila Howe, Blastoise, raven
Lawrence Mayer, Ninetales, turtle 
Lon Klocko, Primeape, gerbil
Ms. Wilber Swaniawski, Spearow, gerbil
Sherill Morissette I, Jolteon, armadillo
Rochell Dickinson, Clefable, tiger
Hildred Mills, Ekans, minnow
