Gaston Pfeffer, Bulbasaur, bee
Antionette Torp, Venomoth, alpaca
Malisa Dach Sr., Kabuto, water buffalo
Adelle O'Reilly, Golduck, weasel
Janyce Christiansen, Victreebel, alpaca
Bryant Brekke, Grimer, wildebeest
Donald Boyle, Hitmonlee, cockroach
Eugene Harris, Slowpoke, locust
Ms. Deloise Effertz, Doduo, sheep
Hyman Feil, Weezing, giraffe
Dr. Reggie Thompson, Arcanine, scorpion
Lieselotte Luettgen Sr., Ninetales, muskrat
Warren Mertz V, Jigglypuff, serval
Ms. Lashandra Kuphal, Primeape, elk
Nell Weber, Seel, cricket
Valorie Bartell, Electabuzz, mammoth
Mrs. Mickey Reilly, Seaking, swan
Lean Roberts, Cloyster, armadillo
Earnestine Oberbrunner, Koffing, water buffalo
Vasiliki Sawayn, Dodrio, seal
Kami Lubowitz I, Oddish, reindeer
Mervin Wiza, Magneton, alligator
Mr. Horace Klein, Kangaskhan, antelope
Nidia Reilly III, Spearow, shark
Marcos Larkin, Exeggutor, toad
Ms. Sal Bins, Hypno, snake
Emerita Schneider, Gloom, giraffe
Preston Hodkiewicz, Tauros, mallard
Sandy Brakus, Mankey, swan
Beata Kutch PhD, Eevee, macaw
Delinda Rolfson, Electabuzz, cockroach
Carmelina Koss, Abra, sea lion
Gema Gleichner, Electrode, rat
Anjanette Nolan, Jynx, horse
Rayford Kerluke, Omanyte, gnat
Frederick Cummerata DVM, Gloom, macaw
Mrs. Joshua Tillman, Alakazam, crocodile
Mrs. Gustavo Gibson, Hitmonchan, cod
Marquitta Torp, Ditto, jellyfish
Graham Muller, Omanyte, snail
Irina Goodwin, Dugtrio, moose
Jamey Larkin DVM, Chansey, bee
Kittie Lesch, Dewgong, reindeer
Yasmine Rippin, Ivysaur, trout
Ms. Sarina Reichert, Zubat, hedgehog
Ettie Harber, Clefable, mole
Ela Gaylord, Weedle, shark
Jackeline Dare PhD, Starmie, camel
Aiko Kessler, Jigglypuff, wildebeest
Santos Howell, Mew, mule
