Mr. Luigi Koch, Starmie, fly
Ms. Virgilio Nitzsche, Slowpoke, yellowjacket
Patrina Koch, Seadra, hornet
Dr. Doria Bauch, Pidgeot, toad
Edmond Bergnaum II, Onix, otter
Edmond Stoltenberg, Zubat, ferret
Ms. Winfred Miller, Cubone, macaw
Mrs. Elfriede O'Keefe, Bulbasaur, porcupine
Tanner Barrows DVM, Kangaskhan, cod
Cleo Schowalter, Nidorino, toad
Eugene Raynor, Horsea, elephant
Dave Dach, Kadabra, rabbit
Hector Kreiger, Mewtwo, jackal
Davis Weimann, Hypno, dog
Barrett O'Conner, Mewtwo, beaver
Oren Reichel, Muk, impala
Jeromy Jacobs, Bulbasaur, gnu
Verlie Kreiger, Magneton, gorilla
Oren Marks, Ponyta, dinosaur
Bell Kulas, Lickitung, rat
Joel Fisher, Dragonair, wolf
Francene Bode, Slowpoke, fly
Jude Borer, Rhyhorn, monkey
Archie Collins, Seel, crow
Verlie Ryan, Onix, alligator
Verona Bernhard, Poliwrath, swan
Miss Rebbeca Williamson, Lickitung, toad
Shakira Toy, Farfetch'd, butterfly
Mitch Mosciski MD, Lapras, duck
Vern Fahey Sr., Nidorino, hyena
Phung Johnston, Charmeleon, pug
Cyndi Gerlach, Muk, tortoise
Gus Johnston, Shellder, mink
Linette Goyette, Zubat, butterfly
Ned Tremblay, Hitmonlee, wolf
Shoshana Streich, Psyduck, ferret
Mr. Loyd Cartwright, Machamp, oyster
Ms. Tammie Vandervort, Raticate, wildebeest
Lamar Nitzsche Sr., Exeggcute, salmon
Mr. Orlando Jenkins, Staryu, eel
Oliver Hickle, Ekans, snail
Lauren Thiel, Articuno, hare
Casey Koss, Abra, hamster
Dorian Sauer, Dratini, louse
Marjorie Keeling, Ditto, rat
Kazuko Emmerich, Golduck, snail
Marion Treutel, Kabutops, toad
Mrs. Houston Flatley, Hitmonlee, eel
Dr. Alvaro Hagenes, Vaporeon, rat
Kelley Will, Electabuzz, eagle
