Edmund Russel, Machoke, weasel
Francie Schumm IV, Vaporeon, kangaroo
Verlie Sipes, Nidorina, wombat
Tammera Bernhard, Moltres, dolphin
Bradly McCullough, Pidgeotto, weasel
Les Klocko, Poliwag, muskrat
Luanne Schinner, Nidorina, mole
Daron Parker, Pidgeotto, bat
Emeline Harber, Vaporeon, donkey
Dr. Melita DuBuque, Caterpie, coyote
Antonia Crona, Nidoran, weasel
Inez Macejkovic, Golduck, porpoise
Shannon Halvorson, Hitmonchan, goldfish
Jacqueline Dach, Raichu, bee
Ben Tremblay, Starmie, goat
Terresa Kozey, Fearow, porcupine
Jose Gleason DVM, Pidgeotto, wolf
Mr. Jeffery Goyette, Flareon, walrus
Eli Spencer, Bellsprout, porcupine
Eugenie Wilderman, Rattata, ferret
Bernie Gleason, Tentacruel, snail
Jacelyn Schamberger, Sandslash, hedgehog
Taylor Quigley, Poliwhirl, mallard
Dr. Homer Lubowitz, Graveler, horse
Theo Goldner, Geodude, locust
Blanche Reichert DDS, Sandslash, sheep
Fatima Mayert, Golbat, horse
Signe Sanford, Horsea, otter
Nila Breitenberg Sr., Geodude, pig
Ahmed Konopelski, Diglett, rhinoceros
Morris Abernathy II, Alakazam, wombat
Wiley Heaney, Nidorina, cricket
Mrs. Jone Lang, Mew, manatee
Ms. Nena Heidenreich, Lapras, antelope
Ms. Abe Heathcote, Cubone, ape
Clifford Fritsch, Magneton, dinosaur
Dr. Angelina Connelly, Primeape, wolf
Julianne Bayer, Raticate, rhinoceros
Fletcher Schmitt, Snorlax, giraffe
Kyra Shields, Nidoran, toad
Janna Jacobson, Meowth, beaver
Lou Franecki, Cloyster, hyena
Tomas Stehr, Persian, porcupine
Walter Hoppe, Hitmonlee, duck
Miss Zoila Kreiger, Ditto, minnow
Dr. Akilah Gislason, Pidgeot, mole
Jimmy Kuphal, Jynx, skunk
Delfina Halvorson, Squirtle, armadillo
Damion Dietrich, Ninetales, porpoise
Ms. Lionel Torp, Grimer, hyena
