Dante Rath MD, Pidgeot, weasel
Mrs. Gerald Ankunding, Charmander, hornet
Margaretta Terry, Moltres, goose
Fredric Bahringer, Bulbasaur, hippopotamus
Carrol Ankunding Sr., Weezing, sea lion
Christoper King II, Voltorb, wolf
Olga Collins, Starmie, mouse
Miss Orlando Predovic, Seadra, dinosaur
Albert Wilderman, Poliwrath, panda
Jess Mertz, Aerodactyl, jellyfish
Florentino McDermott, Nidoqueen, raven
Jonell Denesik, Rhyhorn, fox
Floyd Daugherty, Victreebel, llama
Chassidy Schulist Jr., Wartortle, jackal
Yuki Kirlin, Hypno, jellyfish
Deandre Bode I, Gengar, turtle 
Arletha Quitzon, Magikarp, fish
Ricky Schumm, Farfetch'd, prairie dog
Orlando Hayes, Rhyhorn, clam
Carrol Koch, Ninetales, cockroach
Miss Jamie Dicki, Omanyte, coyote
Mrs. Colleen Hilpert, Vaporeon, wildebeest
Angelo Langosh II, Dewgong, wildebeest
Minh Olson, Koffing, spider
Ms. Brett Glover, Tangela, macaw
Neville Lang MD, Golbat, alpaca
Man Padberg, Fearow, sea lion
Stewart Windler, Farfetch'd, panda
Kate Bahringer IV, Dugtrio, turtle 
Alyse Kemmer II, Kangaskhan, muskrat
Dr. Franklin Thiel, Rhydon, jellyfish
Susy Lebsack, Horsea, mallard
Isaiah Ankunding, Chansey, duck
Mrs. Cortez Kohler, Magnemite, water buffalo
Lonna Grant, Charizard, bee
Cherelle Schowalter, Geodude, cockroach
Laurence Graham, Poliwag, cicada
Ardath Conn, Electabuzz, caribou
Freda Goyette, Victreebel, monkey
Wilber Schaden DDS, Mew, impala
Adam Bode DDS, Nidorino, raven
Keli O'Keefe PhD, Voltorb, armadillo
Maria Casper, Kabutops, spider
Sibyl Rodriguez IV, Magikarp, sea lion
Harvey Davis, Kangaskhan, duck
Emmitt Paucek DDS, Rapidash, hamster
Deon Goodwin, Rhyhorn, cat
Jame Bayer, Nidoran, hedgehog
Delpha Sawayn, Seaking, hedgehog
Wei Buckridge, Farfetch'd, minnow
