Rob Durgan, Chansey, raven
Erich Wisozk, Bellsprout, eagle
Earnestine Lynch, Charmeleon, gnat
Chong Braun Jr., Slowbro, turtle 
Juliette Gislason II, Poliwhirl, locust
Jeniffer Legros Jr., Arbok, beaver
Antionette Jacobi, Arbok, hornet
Ivonne Russel, Mew, serval
Abbie Reichert, Blastoise, lizard
Kathlyn Schinner, Mew, ox
Mrs. Geraldo Jerde, Koffing, hedgehog
Idella Yost, Vileplume, grasshopper
Graig Beier, Krabby, tiger
George Bahringer DVM, Fearow, fly
Meghan Deckow, Venusaur, mole
Elroy Orn II, Ninetales, cod
Len Howe, Tauros, panda
Lucas Zieme, Clefairy, cattle
Johana Will I, Weezing, yellowjacket
Gita Pacocha, Farfetch'd, gnat
Quincy Feest, Hitmonchan, dolphin
Charles Padberg, Machoke, badger
Trang Hauck III, Nidorino, impala
Mrs. Irving Nolan, Magikarp, oyster
Matt D'Amore, Butterfree, mosquito
Kristopher Harvey, Cubone, clam
Mrs. Deonna Okuneva, Poliwhirl, gnat
Marchelle Hilpert, Diglett, giraffe
Mr. Kathryne Weimann, Alakazam, pig
Mrs. Trent Becker, Gengar, grasshopper
Miss Rex Lesch, Geodude, oyster
Geoffrey Langosh, Tentacool, termite
Joshua Cruickshank, Muk, grasshopper
Albertha Mraz, Jolteon, cricket
Scotty Kozey, Omastar, mosquito
Ms. Dinorah Mueller, Tentacool, macaw
Mrs. Lena Bosco, Raichu, hornet
Marisa Predovic, Nidoking, elephant
Jeffrey Batz, Metapod, louse
Artie Rath, Dragonite, cicada
Lizzie Windler, Growlithe, dolphin
Quentin Emard, Nidoran, raccoon
Marisa Williamson, Voltorb, buffalo
Clair Nienow PhD, Abra, caribou
Katharina Herzog III, Caterpie, mole
Marcell Herman, Seel, trout
Madonna Hermiston, Magmar, lizard
Luis Fahey DVM, Nidorina, donkey
Eva Borer Jr., Flareon, ferret
Larae Hessel MD, Machop, whale
