Ezra Schamberger, Rhydon, walrus
Mervin Price IV, Poliwrath, deer
Erin Schiller, Magmar, gnat
Denisse Hilpert, Hitmonchan, fish
Dr. Stephany Senger, Vileplume, buffalo
Shayne Kertzmann, Chansey, koala
Annette Crooks III, Pikachu, baboon
Jame Stokes Jr., Kadabra, eel
Dorsey Boyle, Lickitung, squirrel
Francisco Kerluke, Magneton, mallard
Alfred Orn, Bellsprout, bat
Allen Bernier, Magneton, rat
Jaye Schmeler, Tentacruel, dolphin
Perry Zieme, Rattata, gerbil
Ms. Charity Mertz, Snorlax, giraffe
Hai Pollich I, Tangela, manatee
Ms. Basilia Haag, Jigglypuff, porpoise
Claudio Kunze, Venusaur, mouse
Joe Kuhn, Kangaskhan, oyster
Charles Prosacco, Kingler, mouse
Carson Beer, Flareon, locust
Miss Kandi Christiansen, Grimer, sardine
Lisandra Becker, Staryu, crocodile
Mr. Monte Terry, Growlithe, gnu
Herbert Renner, Metapod, bee
Grover Spencer, Dragonair, spider
Gaylene Moore Sr., Hypno, mouse
Damian Gutkowski MD, Scyther, cheetah
Ms. Emely Legros, Parasect, turtle 
Julieta Ritchie Jr., Victreebel, frog
Chet Kris, Kadabra, moose
Ms. Queenie Rolfson, Blastoise, weasel
Lucius Kutch, Kakuna, ferret
Magan Hahn, Rhyhorn, goldfish
Oren Mann, Exeggcute, wolf
Cierra Kling V, Arcanine, goose
Murray Murazik, Moltres, marten
Tony Greenfelder, Mewtwo, beaver
Latanya Harber, Weepinbell, crocodile
Sal Schuster, Weezing, prairie dog
Milford Kuhn, Victreebel, cat
Carmine Balistreri, Persian, baboon
Lewis Konopelski, Nidorino, mallard
Cecily Volkman, Psyduck, sardine
Miss Dion O'Reilly, Ekans, eagle
Glendora Casper, Charizard, hare
Ms. Lakiesha Windler, Chansey, giraffe
Ms. Efrain Thompson, Zapdos, armadillo
Antwan Okuneva, Poliwhirl, cockroach
Stormy Towne III, Magmar, weasel
