Jeff Rogahn, Drowzee, chimpanzee
Burt Bergnaum, Pidgey, minnow
Lloyd Labadie, Venonat, salmon
Grover Price, Charizard, cockroach
Mr. Arlena Ruecker, Fearow, goat
Gabriella Murazik, Gloom, horse
Mickey Swift, Magneton, herring
Murray Wintheiser I, Ninetales, mammoth
Arlie Halvorson, Cubone, cheetah
Lucila Ziemann III, Vileplume, mammoth
Robin Williamson, Fearow, herring
Carmon Hintz V, Oddish, baboon
Ronny Hammes, Charmander, walrus
Kim O'Reilly Jr., Chansey, rhinoceros
Ms. Louie Gleason, Kabutops, shark
Cora Torp, Meowth, deer
Del Schmitt, Zubat, baboon
Kirstie Daniel, Dragonite, pig
Wilfred Hoeger, Blastoise, lion
Tomasa Tremblay, Diglett, guinea pig
Ismael Lockman PhD, Magnemite, rat
Donella Rice, Exeggcute, turtle 
Domingo Parisian, Magikarp, rat
Lowell Medhurst, Golduck, jackal
Miss Tonya VonRueden, Chansey, camel
Ayako Jones, Charmander, mallard
Makeda Dietrich, Sandslash, buffalo
Janean Graham, Nidoking, shark
Karrie Kub Jr., Weepinbell, lion
Barb Schumm, Dugtrio, beetle
Reynaldo Abernathy, Mewtwo, hippopotamus
Marion Windler, Seaking, cricket
Barton Pouros, Butterfree, rat
Doretta Thiel, Beedrill, trout
Beau Johnston, Gengar, snake
Boris Bode, Bulbasaur, mouse
Kirby Schmidt, Shellder, impala
Pablo Kub IV, Hitmonlee, serval
Dr. Kerrie Turcotte, Poliwrath, snake
Dee Mueller, Seaking, hornet
Junior Grant, Wigglytuff, grasshopper
Dr. Brant Green, Diglett, rabbit
Larae Kuhlman, Metapod, goose
Sophia Homenick, Koffing, mallard
Rolando Rolfson, Horsea, otter
Bryon Dare, Snorlax, gnu
Jacob Ritchie, Pidgeotto, eagle
Fernando Runte, Mew, goat
Annalee O'Kon Sr., Poliwrath, gerbil
Jay Wintheiser, Vulpix, koala
