Chance Shields DDS, Persian, jellyfish
Stewart Welch, Nidoqueen, worm
Milly O'Reilly, Poliwhirl, jackal
Fransisca Ebert, Pinsir, deer
Mrs. Sherell Stark, Staryu, panda
Fidel Johnston Jr., Dragonite, ferret
Jewel Herman, Drowzee, squirrel
Jayne Mitchell, Bulbasaur, lion
Kira Hoppe, Pinsir, giraffe
Kelley Waters, Magikarp, woodchuck
Reena Mayer, Persian, herring
Gene Hyatt, Nidorino, snail
Miss Xavier Bechtelar, Gyarados, goat
Meghann Corkery, Graveler, jackal
Abdul Ward, Kabuto, cattle
Ressie Lindgren, Mr. Mime, dinosaur
Nereida Stokes, Flareon, mink
Hunter Hickle, Diglett, herring
Harriett O'Kon, Poliwag, gerbil
Mrs. Tomas Haag, Oddish, seal
Kermit Murazik, Vulpix, mosquito
Wes Haag, Grimer, gnat
Yuriko Mosciski, Charizard, beetle
Andreas Kovacek, Magnemite, beetle
Perla Hartmann, Omanyte, mole
Verena Batz, Tauros, rhinoceros
Ms. Phil Torp, Haunter, snail
Darrel Stanton, Zapdos, horse
Neva Lockman I, Jigglypuff, crow
Ms. Paulene Ernser, Venusaur, guinea pig
Bruno Collier, Pidgeot, goose
Miss Colton Kihn, Nidoqueen, koala
Valentin Mosciski, Moltres, scorpion
Launa Harvey, Tentacruel, walrus
Micah Dooley, Nidorina, mule
Roman Bergstrom, Primeape, mammoth
Edgar Schuppe Jr., Dewgong, giraffe
Kenna Swift I, Ditto, ant
Melodie Gislason, Pikachu, rabbit
Chin Stanton MD, Gastly, elephant
Autumn Schneider Jr., Jolteon, yak
Rhonda Bernhard, Golbat, moose
Oralee Collins, Kadabra, goose
Harland Wolff, Ditto, alpaca
Mack Tromp, Omanyte, goat
Arminda Hoeger, Raticate, snail
Kim Konopelski, Voltorb, cricket
Miss Basil Harris, Zubat, turtle 
Vicky Yundt, Alakazam, cod
Amada Sipes, Voltorb, squirrel
