Dr. Alphonso Stracke, Kangaskhan, bear
Dee Dickens, Farfetch'd, crocodile
Annabel Franecki, Pidgey, hamster
Hayden Gottlieb, Pidgeot, camel
Mrs. Cleta Hand, Spearow, walrus
Heath Satterfield, Squirtle, deer
Mr. Lyda Stark, Parasect, wasp
Svetlana Lebsack, Ekans, rat
Mr. Rocio Cormier, Kingler, giraffe
Thi Williamson, Raichu, squirrel
Mr. Dominica Schoen, Pikachu, kangaroo
Spencer Ledner, Kabuto, snail
Mr. Sherwood Rogahn, Nidorino, squirrel
Carson Thiel, Kabutops, prairie dog
Lenita Denesik Sr., Rattata, seal
Lon Shanahan, Butterfree, hedgehog
Walker King, Koffing, rhinoceros
Etta Feest, Mr. Mime, sardine
William Schmitt, Spearow, swan
Oscar Keebler, Venonat, beaver
Nigel Jerde, Rattata, dolphin
Ms. Darren O'Conner, Doduo, minnow
Erasmo Kulas, Golem, gerbil
Millicent Reichert, Arbok, bat
Dr. Norris Cummings, Venusaur, hedgehog
Oliver Langworth, Electabuzz, snake
Mr. Jarrod Considine, Lapras, gnat
Dorian Vandervort, Kadabra, whale
Dr. Joaquina Bogan, Kabuto, salmon
Christy O'Reilly, Parasect, platypus
Mrs. Conrad Osinski, Machop, platypus
Karry Quigley, Lickitung, whale
Alpha Kirlin, Voltorb, donkey
Richie Emard, Kakuna, muskrat
Darrick Lind, Arbok, macaw
Malik Abbott, Weepinbell, hippopotamus
Maribel Nader, Magikarp, worm
Scottie Fahey DVM, Sandslash, tortoise
Maddie Cruickshank, Farfetch'd, zebra
Juliane Kuhn, Clefairy, alligator
Liz Barrows, Magmar, locust
Edda Franecki V, Magnemite, alligator
Alexia Strosin, Abra, ferret
Grover Rempel, Venomoth, deer
Columbus Towne, Arcanine, chinchilla
Miss Dennis Abernathy, Aerodactyl, antelope
Dr. Lyman Ankunding, Slowpoke, toad
Ray Swift, Kingler, deer
Clementina Ledner III, Kingler, porpoise
Clifford Koch, Rhydon, mallard
