Osvaldo O'Conner DDS, Geodude, reindeer
Desire Muller, Rhydon, locust
Garnett Cronin, Dragonite, herring
Jama Rowe, Raticate, butterfly
Eloy Grant, Vaporeon, fish
Mrs. Ellsworth Schneider, Geodude, cod
Bryant O'Connell, Kangaskhan, impala
Miss Young Marvin, Pinsir, skunk
Mrs. Shantay Collins, Pidgeot, locust
Zoila Emmerich, Dewgong, ant
Irene Murray, Electrode, dolphin
Corene Jones, Magikarp, cat
Terence Goyette, Clefairy, otter
Mr. Gussie Block, Rattata, beaver
Aldo Brown PhD, Koffing, camel
Arlen Cartwright, Jigglypuff, hyena
Kina Kuvalis, Ninetales, hornet
Mabel Russel, Jigglypuff, kangaroo
Miss Blanch DuBuque, Ponyta, beaver
Miss Madie Gibson, Venomoth, donkey
Mardell Schowalter, Alakazam, louse
Inell Mayert DVM, Oddish, crocodile
Senaida Hamill I, Machop, cheetah
Mrs. Willard Ryan, Parasect, hare
Mckinley Lockman, Eevee, eagle
Patrica Boyle DVM, Pidgey, duck
Joaquin Kreiger PhD, Wigglytuff, koala
Mr. Nick Douglas, Moltres, sardine
Dalton Bergstrom, Drowzee, goat
Layne Cormier, Pikachu, fly
Ms. Delphia Conn, Nidoking, tortoise
Sarita Hodkiewicz, Goldeen, cat
Dave Aufderhar, Tangela, guinea pig
Wesley Berge, Sandshrew, goat
Janay D'Amore, Electrode, antelope
Miss Forrest Windler, Doduo, mink
Wm Padberg, Voltorb, skunk
Troy Schmidt, Marowak, leopard
Hung Hettinger Sr., Hypno, mammoth
Zina Green II, Bellsprout, manatee
Juana Greenholt, Charmeleon, jackal
John Collier, Golem, mink
Dagny Weissnat DDS, Charmeleon, snake
Mr. Alonso Gleichner, Dratini, rhinoceros
Blythe Johns I, Staryu, fox
Yuk Homenick, Kabuto, raccoon
Amanda Lind, Pikachu, rhinoceros
Jasper Leuschke, Rhyhorn, trout
Buck Haley, Seadra, wasp
Xavier Roberts, Squirtle, donkey
