Markita Bailey, Electrode, ferret
Drucilla Emmerich IV, Spearow, butterfly
Sanjuana Schmidt, Wigglytuff, whale
Edmundo Monahan, Haunter, armadillo
Lelah Boehm PhD, Charizard, ape
Brittanie Prohaska, Poliwag, sea lion
Mr. Carmella Wiegand, Gloom, cattle
Sung Morar II, Raticate, muskrat
Jae Kub, Oddish, cockroach
Marlin Aufderhar, Eevee, minnow
Reinaldo Gorczany, Diglett, sea lion
Kennith Funk, Hitmonlee, beetle
Mr. Marjory Gislason, Weepinbell, swan
Awilda Friesen, Abra, gnat
Kalyn Reinger, Marowak, beaver
Hollis Blick, Nidorina, marten
Nigel Torp, Magmar, worm
Hosea Gutmann, Porygon, hippopotamus
Althea Douglas, Kakuna, moose
Stephaine Friesen DVM, Seel, walrus
Ms. Mikki Bayer, Seel, marten
Jasper Turner, Grimer, mammoth
Jesusita Yost II, Tentacruel, crab
Carter Jast, Porygon, snail
Ernestine Reilly, Koffing, crow
Wilber Nolan, Arcanine, koala
Lennie Weissnat, Kabuto, coyote
Kara Armstrong, Tentacruel, coyote
Mr. Cornell Nitzsche, Meowth, alligator
Brent Lynch, Charmeleon, rhinoceros
Ms. Felix Ward, Machop, rabbit
Darius Altenwerth, Sandshrew, cod
Mohammad Kris II, Oddish, hamster
Roderick Windler V, Hitmonlee, jellyfish
Miss Carlos Hirthe, Gastly, panda
Klara Lynch, Poliwrath, coyote
Shanta Weimann, Venonat, snail
Zandra Schmitt, Aerodactyl, hyena
Miss Mistie Sporer, Kabuto, dinosaur
Yvone Spencer PhD, Magneton, platypus
Leopoldo Hettinger, Raticate, alpaca
Beatrice Hettinger III, Charmander, water buffalo
Efrain Feeney, Goldeen, sardine
Celesta Williamson, Mew, crab
Jarvis Bednar, Horsea, mallard
Collin Schmeler II, Weepinbell, butterfly
Chung Blick, Sandshrew, bat
Enriqueta Hudson, Electrode, elk
Shery McGlynn V, Pidgey, panda
Dr. Kurt Lehner, Jigglypuff, kangaroo
