Dr. Isadora Schamberger, Wigglytuff, zebra
Manda Harvey, Cloyster, crocodile
Geraldine Farrell, Sandslash, trout
Waltraud Hoeger DVM, Poliwhirl, goose
Nohemi Padberg, Slowbro, ape
Henriette Moore, Dewgong, sardine
Glinda Wehner, Mewtwo, bear
Dr. Marni Wyman, Weepinbell, goose
Ms. Glory Thiel, Arcanine, lion
Elias Wyman, Moltres, armadillo
Lise Lehner, Machamp, panda
Markita West, Growlithe, hamster
Dr. Martin Lind, Poliwag, rabbit
Numbers Ruecker, Machop, armadillo
Drew White, Aerodactyl, mammoth
Dr. Wynona Von, Cloyster, impala
Nicolas Howe, Ditto, eel
Kerstin Weber, Meowth, alligator
Ai Emmerich, Alakazam, beetle
Antonio Abshire, Krabby, frog
Mickie Bergnaum, Mr. Mime, koala
Shawn Corkery, Voltorb, snail
Mikel Abernathy, Raticate, serval
Ariana Block, Beedrill, monkey
Chana Kozey, Geodude, dolphin
Jerald Zieme Sr., Machamp, alpaca
Miss Timothy O'Reilly, Paras, elephant
Mrs. Jacinta Purdy, Drowzee, fly
Nikita Jacobi, Moltres, butterfly
Dr. Deon Kirlin, Eevee, crab
Lewis Skiles, Parasect, porpoise
Essie Powlowski, Chansey, deer
Ulysses Bernhard, Caterpie, dinosaur
Loriann Nader IV, Victreebel, yak
Myron Oberbrunner, Charizard, lion
Therese Barrows, Bulbasaur, cockroach
Mr. Damien Metz, Charmander, turtle 
Mr. Russel Kertzmann, Meowth, hamster
Argelia Vandervort, Zapdos, cockroach
Blake Wilderman, Ninetales, goose
Freddy Rodriguez, Golem, fish
Mr. German Volkman, Lapras, bee
Jodi Yost, Electabuzz, rhinoceros
Mr. Nita Hettinger, Starmie, bat
Rigoberto Wuckert II, Pidgeotto, bear
Mrs. Dominique Prohaska, Dragonite, yellowjacket
Deshawn O'Keefe DVM, Alakazam, jackal
Mrs. Samual Zulauf, Victreebel, raccoon
Mr. Jarrod Klocko, Pidgeot, buffalo
Nathaniel Beatty, Bellsprout, jellyfish
