Sharmaine Hodkiewicz PhD, Seadra, cat
Abdul Stoltenberg II, Zapdos, cattle
Jacinto Nienow, Magmar, donkey
Donnell Bradtke, Doduo, gnu
Annetta Hirthe, Ekans, squirrel
Viviana Macejkovic I, Tangela, dog
Lakeisha Mann, Shellder, sheep
Leandra Gutmann, Golem, fish
Wally Satterfield, Pidgey, ape
Ms. Enrique Bradtke, Charmeleon, goat
Mr. Clifton Ondricka, Psyduck, hornet
Ms. Enoch Weissnat, Flareon, water buffalo
Faustino Adams, Machop, leopard
Lourie Tremblay, Venomoth, hornet
Mr. Steve Medhurst, Lickitung, minnow
Aurelia Cummings, Weedle, scorpion
Emilee Roob, Charmander, platypus
Despina Bins, Aerodactyl, beaver
Tiana Smitham, Seadra, leopard
Drew Kilback, Ninetales, sea lion
Salvador Heathcote, Ekans, cat
Myron Jast, Pikachu, woodchuck
Marylynn Mraz, Weezing, prairie dog
Jaime Dach, Alakazam, tiger
Emerita Johnson, Seel, termite
Margarito Schmitt, Kadabra, fox
Leland Crist, Rhyhorn, clam
Miss Ulysses MacGyver, Arbok, yellowjacket
Cruz Heathcote, Beedrill, reindeer
Darrick Lehner, Venomoth, chinchilla
Stephen Dach, Meowth, worm
Neida Considine V, Scyther, porcupine
Miss Holley Moen, Beedrill, donkey
Jesse Bauch, Clefable, louse
Rana Wilderman, Gastly, kangaroo
Virgilio Ebert, Vaporeon, bear
Charisse Abshire, Slowbro, louse
Jannet Breitenberg, Mankey, bee
Mckenzie Barrows V, Pikachu, crocodile
Candelaria Greenholt, Grimer, armadillo
Doreatha Schaden, Arcanine, hound
Mrs. Donte Goldner, Squirtle, pug
Laurence Little, Dugtrio, wolf
Jeanine Raynor, Eevee, giraffe
Mrs. Tracy Doyle, Articuno, manatee
Darci Goyette, Vileplume, bat
Daine Ferry Sr., Charizard, platypus
Miss Jerrold Ernser, Ponyta, cricket
Delta Hand, Magneton, wildebeest
Lucio Doyle, Beedrill, water buffalo
