Adena O'Keefe DDS, Scyther, prairie dog
Ms. Shirley O'Reilly, Exeggutor, crocodile
Alphonso Lakin, Articuno, louse
Dr. Josh Hodkiewicz, Magneton, frog
Miss Marlin Beier, Graveler, horse
Lorenzo Barrows, Weezing, gnat
Terica Medhurst, Rhyhorn, louse
Rima Mayer DDS, Charizard, shark
Willena Konopelski, Seel, manatee
Dennis Hyatt IV, Dugtrio, alpaca
Camilla Treutel, Poliwrath, walrus
Rosendo Nader, Wigglytuff, hornet
Carrol Jacobson DVM, Abra, gnu
Elbert Waelchi, Slowpoke, butterfly
Kimbra Rippin, Chansey, ape
Refugia Keeling, Venusaur, badger
Otto DuBuque Sr., Dugtrio, goldfish
Mr. Donita Sporer, Ekans, crocodile
Shoshana Kemmer, Jolteon, beaver
Latashia Hudson I, Kingler, chimpanzee
Ms. Titus Koss, Starmie, caribou
Manual Bruen, Ninetales, yak
Miss Shakira Schimmel, Hitmonlee, tiger
Reena Wintheiser, Farfetch'd, hornet
Bernardo Bernier V, Muk, louse
Mr. Stephen Baumbach, Clefable, dolphin
Miss Delmar Robel, Venomoth, monkey
Joleen Becker, Nidoran, llama
Maureen Lindgren MD, Gastly, platypus
Minta Herzog, Doduo, sheep
Albert Leffler I, Eevee, snake
Elmer Bartoletti, Butterfree, duck
Chassidy Davis, Haunter, water buffalo
Benedict Kerluke, Fearow, rhinoceros
Ha Howe, Pidgey, chinchilla
Katelin Mraz Sr., Onix, duck
Kelsey Swaniawski, Charizard, raven
Dr. Debbra Wehner, Kabuto, trout
Arnoldo Spencer, Fearow, hippopotamus
Joya Boyle, Cloyster, donkey
Gavin Marquardt, Tentacool, cattle
Melda Lynch, Gloom, buffalo
Robby Stiedemann, Metapod, alligator
Pei Marvin, Arcanine, impala
Joesph Schaden, Pinsir, coyote
Brice Torphy, Dugtrio, bear
Helen Mosciski, Ekans, eagle
Toshia Hudson, Diglett, leopard
Mr. Gigi Schroeder, Vulpix, alligator
Mr. Jae Leuschke, Gastly, porpoise
