Jacinta McCullough DDS, Tentacool, baboon
Tamar Ullrich, Machoke, impala
Eric Robel, Psyduck, raven
Dr. Roosevelt Lakin, Gastly, mule
Jayson Lesch, Omanyte, bee
Moises Williamson, Hitmonlee, gerbil
Willy Sawayn V, Machoke, marten
Daisey Schuster I, Nidoran, minnow
Dr. Elmer Yost, Victreebel, mule
Larae Collier, Hitmonlee, horse
Donovan Klocko, Venomoth, bear
Dr. Antonio Mosciski, Ponyta, grasshopper
Adah Weimann DVM, Poliwag, rabbit
Nedra Johnston, Farfetch'd, mink
Yesenia Haag, Nidorina, ape
Mr. Lonny Bauch, Electabuzz, dolphin
Nicole Gerlach, Clefairy, gorilla
Mrs. Horace Langosh, Wartortle, wildebeest
Lavette Lockman, Golduck, sea lion
Pamila Wuckert, Nidorina, porpoise
Lillia Lockman, Lickitung, cheetah
Tona Dibbert I, Arbok, mammoth
Augustus Dickinson, Rapidash, oyster
Jesse Stark, Chansey, cat
Timothy Huels, Ponyta, clam
Karla Terry, Mew, gnu
Mr. Derick Crooks, Vileplume, louse
Claudio McCullough, Arbok, wasp
Miss Kurtis Frami, Omastar, deer
Claudia West Sr., Zubat, oyster
Thresa Harris DVM, Clefable, mole
Woodrow Rau, Slowpoke, shark
Cameron Upton II, Slowpoke, dolphin
Shea O'Conner, Pidgeotto, ferret
Janita Huels, Wigglytuff, hedgehog
Xuan O'Conner, Exeggcute, goldfish
Jean Botsford, Diglett, trout
Fausto Greenfelder, Weedle, gnu
Mrs. Keesha Krajcik, Diglett, fish
Buford Rippin, Vulpix, hyena
Mr. Cristin Medhurst, Jigglypuff, bee
Alex Runolfsson, Cloyster, bat
Phil Considine, Kakuna, armadillo
Ingeborg Abbott, Flareon, bat
Karisa Dare I, Seaking, gnat
Brett Walter, Poliwrath, scorpion
Ronald Bogisich, Nidorino, skunk
Tobias Lynch, Fearow, cat
Harry Mraz, Psyduck, frog
Lue Torp, Nidorino, moose
