Yolonda Beahan, Charmeleon, woodchuck
Mrs. Delora Lynch, Nidorina, crab
Erik Bashirian, Tauros, coyote
Thaddeus Torphy, Mew, elk
Sharell O'Kon, Nidoqueen, locust
Rosemary Adams, Weedle, goose
Philip Gottlieb, Staryu, sea lion
Geraldo Kling, Arbok, giraffe
Trevor Tremblay, Weedle, cod
Andrea Steuber II, Gloom, panda
John Zemlak, Rattata, hornet
Darcey Towne, Seel, elephant
Valentine Towne, Shellder, macaw
Johnny Terry, Gengar, wolf
Jamey Schinner DVM, Bellsprout, jackal
Adalberto Mayer, Ninetales, clam
Barney Grant, Sandshrew, antelope
Tad Hartmann, Dragonair, rabbit
Ms. Leann Nicolas, Rapidash, worm
Alene McCullough, Nidoran, beetle
Norbert Aufderhar, Kakuna, manatee
Anamaria Labadie, Cubone, pig
Benito Beatty III, Tentacool, cheetah
Chauncey Vandervort, Nidorino, spider
Soon Walsh, Koffing, water buffalo
Jasper Kohler PhD, Victreebel, chimpanzee
Bethel Hilpert, Ditto, duck
Sharita Gutkowski, Jigglypuff, alligator
Benny Herzog, Weepinbell, crocodile
Hayden Larson, Zubat, spider
Dudley Romaguera, Bulbasaur, clam
Laila Schaefer, Mew, cockroach
Dr. Carri Wunsch, Goldeen, seal
Hedwig Oberbrunner, Spearow, fox
Ms. Carma Tremblay, Hitmonlee, mole
Tien Blick, Arcanine, eel
Laureen Upton, Exeggutor, sardine
Lisha Tremblay, Vileplume, chimpanzee
Diego Harris I, Hitmonchan, buffalo
Tommie Williamson, Muk, monkey
Dr. Paulene Grady, Nidorina, antelope
Mr. Tanja Bogan, Metapod, horse
Delicia Beahan, Articuno, leopard
Shayne Reilly Sr., Gloom, worm
Ms. Salvador Willms, Growlithe, gnu
Miss Clyde Kreiger, Charizard, elephant
Jaime Hintz, Scyther, chinchilla
Deon Gerhold, Ninetales, mule
Ms. Walton Glover, Moltres, cat
Domingo Sanford, Voltorb, weasel
