Terra Turner IV, Moltres, raccoon
Ellena Monahan, Omastar, prairie dog
Raphael Brekke, Onix, butterfly
Donna Lemke, Nidoran, crab
Maria Funk II, Victreebel, mule
Mr. Devon Braun, Dodrio, platypus
Sang Armstrong, Aerodactyl, badger
Irvin Williamson, Venomoth, skunk
Jocelyn Weissnat, Grimer, panda
Mr. Dorcas Kertzmann, Charizard, muskrat
Dr. Lynn Conroy, Horsea, mule
Julienne Cummings, Nidorino, spider
Florine Prosacco, Poliwag, swan
Carolyn Tromp, Gloom, crow
Lissette Klein, Jolteon, raven
Timothy Rutherford, Machoke, wombat
Fidel Kulas, Dodrio, buffalo
Dr. Gerard Tillman, Rhydon, alligator
Jacinda Kling, Arcanine, goat
Bo Corwin, Krabby, buffalo
Christoper Conroy, Nidorino, otter
Riley Von, Snorlax, antelope
Loren Towne, Moltres, dolphin
Melanie Ratke, Kakuna, guinea pig
Mrs. Leona Weber, Meowth, ox
Gilma Osinski, Raichu, raccoon
Cristine Terry, Squirtle, rat
Glynis Conroy Jr., Pidgey, jackal
Charlie Homenick, Parasect, rhinoceros
Ms. Mathilde Mills, Kadabra, herring
Jarvis Will Sr., Dewgong, goldfish
Ethan Littel, Geodude, toad
Jewel Quitzon, Omanyte, macaw
Ozella Fahey, Nidoran, porpoise
Mr. Alfonso Bailey, Squirtle, fly
Hobert Towne I, Onix, spider
Heidi Ernser, Machoke, muskrat
Viva Bechtelar, Mewtwo, beetle
Joan Jaskolski Sr., Venomoth, ox
Alfred Ward, Exeggutor, porpoise
Freeda Ondricka, Clefable, manatee
Rubin Swaniawski, Electabuzz, beetle
Billy Mayer, Rhydon, goldfish
Norberto D'Amore, Victreebel, giraffe
Selma Mann, Pidgeot, cat
Janise Connelly, Kadabra, bear
Dion Toy IV, Starmie, gorilla
Floretta Bogan, Cubone, wildebeest
Miss Sondra Boehm, Electabuzz, chimpanzee
Jamar MacGyver, Onix, gnat
