Karissa Franecki, Metapod, armadillo
Nakisha Krajcik, Victreebel, jellyfish
Miss Kelli Wilderman, Poliwag, fox
Fernande Kris, Magmar, macaw
Cherry Hilpert V, Hitmonchan, guinea pig
Mr. Kesha Sipes, Ivysaur, skunk
Rodolfo Hessel, Venonat, platypus
Dara Konopelski, Voltorb, gerbil
Rowena Jones Jr., Squirtle, wasp
Louie Gulgowski, Poliwrath, pig
Rosena Sanford, Flareon, kangaroo
Lynwood Rath MD, Slowpoke, mammoth
Jesus Ruecker, Ditto, eel
Daina Tillman, Magikarp, sheep
Berna Baumbach V, Wigglytuff, wolf
Margot Vandervort DDS, Seadra, cattle
Frieda Renner, Metapod, gorilla
Lee Swift, Magnemite, ferret
Reggie Wisozk, Articuno, bear
Miss Sang Bosco, Chansey, donkey
Lisabeth Shanahan, Porygon, guinea pig
Justin Leannon MD, Eevee, trout
Derek Homenick, Poliwag, shark
Todd Schmitt, Staryu, panda
Miss Brandi Hermiston, Rattata, snake
Ellan Hessel DDS, Psyduck, macaw
Bud Howell, Seel, koala
Kyle Barrows, Bulbasaur, elk
Mrs. Jimmy Goodwin, Rhyhorn, hippopotamus
Ted Bednar, Caterpie, oyster
Nicolas Kautzer, Magnemite, mole
Abbie Padberg II, Tangela, armadillo
Carolin Wolf, Machamp, llama
Hortencia Beer, Spearow, gerbil
Mr. Horace Batz, Goldeen, toad
Velma Moen I, Spearow, wombat
Ali Lang, Dratini, mouse
Vincent O'Keefe, Dodrio, swan
Lucienne Kub, Jynx, elk
Wallace Macejkovic, Exeggcute, gnu
Jame Bashirian, Sandshrew, wombat
Nestor Greenholt PhD, Pidgey, panda
Giovanni Gusikowski, Tentacruel, beetle
Blake Howell, Mankey, ferret
Nubia Nitzsche, Victreebel, skunk
Mr. Beckie Breitenberg, Exeggcute, bee
Newton Tillman, Venusaur, wombat
Lenard Waters, Spearow, sheep
Emil Reichel, Clefairy, weasel
Sebastian Miller PhD, Raichu, crocodile
