Pamula Fisher, Bulbasaur, bear
Armandina Olson, Geodude, zebra
Anisa Ziemann, Jynx, clam
Luigi Blick, Rhyhorn, snail
Benjamin Skiles, Hitmonlee, wallaby
Kizzie Langosh, Jynx, tortoise
Dr. Fidela Bednar, Doduo, raccoon
Albert D'Amore, Sandslash, grasshopper
Prince Watsica, Koffing, walrus
Sydney Marvin, Kadabra, pug
Mark Kovacek, Vulpix, porcupine
Vannesa Cruickshank, Venonat, koala
Waldo Mills, Golem, seal
Faustino Becker, Dewgong, rabbit
Wilber Miller, Tentacool, toad
Marci Beahan, Dewgong, fish
Armand Harvey, Magnemite, trout
Mrs. Edda Bernhard, Graveler, ant
Lasandra Reynolds, Gyarados, hamster
Dr. Yasuko Kautzer, Gyarados, armadillo
Olin Lemke Jr., Nidorino, dinosaur
Steven Brown, Kingler, oyster
Mr. Reinaldo Rodriguez, Diglett, bat
Bud Runte, Moltres, hound
Howard Lockman, Poliwhirl, macaw
Georgann McGlynn, Cloyster, beaver
Efrain Volkman, Ponyta, dog
Mrs. Jaclyn Batz, Voltorb, ferret
Saran Balistreri, Charmeleon, raven
Martha Hansen, Hypno, reindeer
Dr. Yuko Beier, Golduck, cat
Ms. Dewitt Nicolas, Eevee, hamster
Fonda Oberbrunner, Weepinbell, snake
Ms. Derrick Schumm, Exeggcute, scorpion
Tyree Roberts, Mankey, moose
Dr. Lillian Greenfelder, Krabby, goat
Florance Kuvalis, Ponyta, hamster
Rubin Rau, Caterpie, prairie dog
Cordell Harber, Blastoise, trout
Dr. Cathie Harvey, Seadra, platypus
Antonia Weber, Golbat, woodchuck
Adelaide Towne Sr., Victreebel, bat
Denver Lehner DVM, Gloom, raccoon
Sherrie Weimann, Arcanine, mule
Tiny Gutmann, Gloom, toad
Bryant Lakin V, Golduck, mosquito
Shayna Lowe, Articuno, cricket
Terence Monahan III, Abra, goat
Mr. Nohemi Kilback, Porygon, cattle
Michal Blanda, Kabutops, donkey
