Wally Veum, Omastar, cattle
Hai Swaniawski, Jynx, frog
Julee Cummings DDS, Scyther, hamster
Noella Leffler, Haunter, wombat
Van Runolfsdottir Jr., Exeggcute, frog
Ms. Margeret Ruecker, Onix, moose
Nelida Jenkins, Pinsir, hound
Ashley Cummerata, Tentacruel, dinosaur
Miss Trang O'Connell, Exeggutor, duck
Silas Greenfelder DVM, Venomoth, scorpion
Hildegarde Abshire, Sandshrew, goldfish
Jona Boehm, Nidoking, deer
Dr. Ali Douglas, Starmie, reindeer
Eduardo Osinski, Squirtle, lion
Jefferey Auer, Doduo, toad
Bennie Hane I, Kabuto, beetle
Jermaine Adams, Mew, horse
Jerica Hane, Alakazam, dog
Buddy Reinger, Parasect, termite
Dr. Tyron Marks, Clefable, eagle
Faviola Larkin, Sandslash, leopard
Rosalinda Harber, Zubat, seal
Margit Cremin, Farfetch'd, beetle
Monte Kiehn, Nidoran, worm
Miss Ivy Flatley, Paras, donkey
Dirk Kohler PhD, Persian, moose
Mrs. Gene Cummerata, Porygon, gerbil
Jerome Heller, Parasect, swan
Earle Parisian V, Marowak, manatee
Joane Schoen DDS, Exeggutor, panda
Thad Altenwerth, Ivysaur, minnow
Fletcher Abshire, Arbok, raccoon
Arden Hintz, Alakazam, worm
Amos Hoppe, Diglett, snail
Frank Huel, Spearow, cattle
Damion Lueilwitz, Charizard, moose
Georgie Rodriguez, Pidgey, grasshopper
Hong Schuster, Farfetch'd, crocodile
Hortense Jacobs, Graveler, muskrat
Darrick Konopelski, Charizard, water buffalo
Maynard Bogan IV, Raticate, reindeer
Les Macejkovic, Electabuzz, locust
Shaun O'Keefe, Paras, snail
Gussie Bogan, Charizard, fish
Dr. Jaimie Lesch, Kakuna, mouse
Leisha Murray, Raichu, spider
Fidel Wisoky PhD, Alakazam, cattle
Gary Feil, Spearow, goose
Abdul Wiza, Goldeen, koala
Yung Johnston, Magneton, guinea pig
