Brendon Schmitt PhD, Gyarados, antelope
Giuseppe Thompson, Ditto, woodchuck
Micah Weissnat, Machop, seal
Monserrate Streich, Golem, walrus
Danille Funk, Nidorino, zebra
Frank Block, Mr. Mime, toad
Dr. Rachele Daugherty, Exeggcute, beetle
Damion Stamm, Tangela, baboon
Adan Kohler, Articuno, jellyfish
Melody Crooks, Kabutops, hippopotamus
Clarence Ledner IV, Rattata, dolphin
Russ Renner PhD, Eevee, dolphin
Tobias Kuvalis, Metapod, gnat
Johnie Kertzmann, Voltorb, reindeer
Scottie Schmidt, Articuno, bee
Tyson Hirthe, Oddish, koala
Trish Lockman, Pidgey, guinea pig
Alden Olson, Diglett, koala
Charlie Medhurst, Machop, fox
Dr. Eugenie Frami, Hitmonchan, gerbil
Lovella Goldner, Pikachu, toad
Hector Christiansen V, Seel, porcupine
Joaquin Breitenberg, Wigglytuff, walrus
Charlene Bailey III, Nidoran, mink
Lyndon Flatley PhD, Poliwag, donkey
Alfred Schultz, Kabuto, alligator
Eleonore Reichel, Zubat, caribou
Darryl Rutherford, Geodude, butterfly
Angie Wisozk, Spearow, wombat
Darell Rosenbaum III, Machop, zebra
Kiley Bashirian, Sandslash, walrus
Izetta Romaguera, Rattata, gnat
Audria Streich, Slowbro, eel
Dr. Maxwell Labadie, Magikarp, snail
Nicky Auer I, Aerodactyl, horse
Santos Mayert MD, Magnemite, locust
Antonio Anderson III, Dragonair, tortoise
Lonnie Pacocha, Kakuna, bee
Sung Schiller, Vulpix, muskrat
Lyndsay Anderson, Hitmonchan, badger
Marlon Kohler V, Golbat, woodchuck
Christian Funk, Gengar, mosquito
Rosalva Lockman, Kangaskhan, scorpion
Lyman Kling, Porygon, ferret
Taylor Rohan, Bulbasaur, eagle
Lily McLaughlin V, Jolteon, locust
Fermin Metz, Hitmonchan, salmon
Marna Bauch, Charmander, water buffalo
Maud Wiegand, Zapdos, rhinoceros
Clarence Koepp, Kabuto, antelope
