Raymundo Becker, Dugtrio, locust
Curt Gleason, Farfetch'd, dinosaur
Cleopatra Cummerata, Tentacruel, butterfly
Marilee Jast, Magikarp, yak
Bryant Franecki, Primeape, wombat
Dr. Doyle Kirlin, Dratini, hedgehog
Rodrigo Sawayn, Seel, lion
Mrs. Michiko Kessler, Fearow, wasp
Sean Fadel, Ponyta, porpoise
Geraldo Buckridge, Victreebel, whale
Buddy Oberbrunner, Koffing, squirrel
Donya Leffler, Arcanine, scorpion
Kent Gorczany, Pidgey, goose
Kenny Upton, Golduck, cockroach
Jonell Macejkovic, Kabuto, walrus
Pansy Zemlak, Venonat, guinea pig
Miss Wesley Goldner, Ivysaur, serval
Jordon Bergstrom, Weepinbell, elk
Dr. Loren Pollich, Growlithe, ox
Delmer Jacobson, Dragonair, alpaca
Delila Nienow, Wartortle, wallaby
Ghislaine Heller, Lickitung, yellowjacket
Albert Krajcik, Flareon, antelope
Joan Streich, Oddish, yak
Marcelle Gislason, Butterfree, hedgehog
Ms. Juan Metz, Pikachu, gorilla
Antionette Adams, Oddish, weasel
Delora Schmidt, Nidorino, cricket
Loreta Douglas, Rhydon, mule
Noble Prosacco, Rattata, monkey
Berry Morissette, Poliwrath, raccoon
Lindsay Hayes, Psyduck, termite
Dr. Laurie Gutmann, Gyarados, skunk
Dr. Luciana Ruecker, Muk, shark
Sonny O'Hara IV, Psyduck, chimpanzee
Milo Reinger, Ponyta, gorilla
Janice Zboncak, Chansey, panda
Elanor Ryan, Koffing, minnow
Justa Tromp, Beedrill, skunk
Rozella Kreiger, Horsea, hare
Kelley Halvorson, Abra, donkey
Florencio Wolf, Clefairy, caribou
Mindy Schulist, Dewgong, bee
Noe Reichert, Machamp, cheetah
Cordell Connelly, Growlithe, weasel
Seth Borer MD, Clefairy, platypus
Roman Nader, Pidgeot, gorilla
Darleen Mayert Jr., Charizard, mallard
Vincent Strosin, Vaporeon, hound
Sal Reilly, Alakazam, grasshopper
