Lloyd Maggio, Ekans, alligator
Miss Mac Little, Meowth, gnu
Jayson Armstrong, Nidorino, swan
Jodee Rolfson DVM, Dragonair, buffalo
Chauncey Gibson, Poliwrath, eel
Carmine O'Conner II, Kabutops, skunk
Josue Breitenberg, Drowzee, horse
Cristobal Harris Sr., Starmie, chinchilla
Lavern Monahan, Zubat, eagle
Ms. Bree Wiegand, Nidoqueen, beetle
Sydney Hilll, Victreebel, scorpion
Isa Johnston II, Exeggutor, jackal
Nicolasa Rempel, Kabutops, duck
Dr. Jacquelynn Huel, Marowak, snake
Carita Fisher PhD, Staryu, butterfly
Leslie Cole, Poliwrath, giraffe
Billy Borer DVM, Paras, frog
Refugio Pouros, Bulbasaur, sardine
Jaimee Koepp, Sandslash, minnow
Mike Jacobi, Koffing, crab
Laci Orn PhD, Shellder, eel
Ora Mueller, Staryu, cheetah
Sung Kozey, Porygon, deer
Mr. Gilbert Doyle, Pinsir, pig
Leonel Gibson, Grimer, crab
Norbert Hegmann, Alakazam, cod
Zandra Monahan Sr., Starmie, herring
Stefany Johns, Staryu, elk
Janeen Mayer, Magneton, horse
Penny Stroman, Gengar, termite
Noreen Schulist V, Wigglytuff, ant
Lionel Barrows, Mew, eel
Samuel Bayer, Horsea, mammoth
Imogene Reinger, Graveler, alpaca
Cindy Kutch, Machamp, dinosaur
Lamont Wiza, Porygon, gorilla
Gricelda Koelpin, Zubat, raccoon
Corliss Sauer, Hitmonchan, beetle
Denny Huels, Dragonair, leopard
Miss Matilda Dooley, Kangaskhan, termite
Brandon Klein, Ponyta, donkey
Mr. Maxwell Gaylord, Venusaur, ferret
Dario Fay, Geodude, mammoth
Darrin Bernhard MD, Gastly, gnu
Saul Boehm, Zapdos, cheetah
Roselyn Mayert, Articuno, salmon
Cyrus Larson, Starmie, wolf
Dr. Karlyn Hessel, Paras, sardine
Joel Bahringer, Exeggcute, dinosaur
Laurie Rutherford, Alakazam, gerbil
