Mr. Joe Abbott, Nidoking, louse
Mr. Tosha Wolff, Omanyte, manatee
Claud Dickinson, Exeggutor, oyster
Scotty Hauck, Flareon, armadillo
Julio Gottlieb, Golem, wallaby
Mrs. Kris Roob, Jynx, goose
Francesco Lakin, Machoke, tiger
Kiana Price, Gloom, turtle 
Lon Stark MD, Pikachu, beetle
Jayson Hirthe Sr., Oddish, trout
Miss Galen Haag, Omanyte, pug
Santos Welch, Kabutops, crab
Bobbye Tremblay, Rhyhorn, mule
Suzann Quitzon, Seadra, snail
Monet Steuber, Victreebel, chinchilla
Marcos Swaniawski DDS, Pinsir, dog
Lino MacGyver, Golem, fish
Reed Hoeger, Dodrio, butterfly
Myron Cronin, Golbat, crab
Mrs. Parthenia Predovic, Ponyta, walrus
Rossie Greenholt MD, Mewtwo, crow
Ms. Cary Parisian, Omanyte, chimpanzee
Billie Beatty, Nidoran, crab
Renaldo Mueller V, Eevee, duck
Marketta O'Connell, Seel, cricket
Vania Kunze, Rapidash, hornet
Jeff Botsford, Mew, squirrel
Ms. Kris Klocko, Kakuna, goat
Dusty Toy, Abra, lion
Jarod Lockman, Spearow, panda
Beverly Will PhD, Mewtwo, goldfish
Scot Rau, Kadabra, swan
Andrew Leffler, Chansey, donkey
Miss Kelly Rippin, Gastly, jackal
Miss Marguerita Lebsack, Weepinbell, muskrat
Terry Beier V, Bellsprout, tortoise
Ok Casper V, Marowak, dinosaur
Joella Kessler IV, Gengar, rhinoceros
Blaine McGlynn, Lickitung, hyena
Lucien Lemke, Shellder, tortoise
Drew Hamill, Sandslash, crab
Mr. Kam Keebler, Vulpix, pig
Margart Reynolds, Aerodactyl, lizard
Anabel Sporer PhD, Graveler, crow
Pearly Moen, Nidoran, giraffe
Elton Rohan, Venusaur, marten
Jimmy Feest, Ivysaur, hound
Chad Mosciski MD, Pidgeotto, herring
Faustina Towne, Ninetales, walrus
Roberto Ratke, Tentacool, deer
