Yuk Mohr I, Shellder, woodchuck
Eric West III, Mankey, beaver
Isiah Olson, Farfetch'd, hare
Darrell Rempel, Rapidash, caribou
Miriam Luettgen, Snorlax, toad
Kelly Schmitt, Wartortle, cod
Maurita Ernser, Psyduck, grasshopper
Dr. Melissa Oberbrunner, Hitmonchan, gerbil
Ms. Elizabeth Wyman, Golbat, fly
Solomon Mosciski, Scyther, shark
Virgilio Jacobi IV, Shellder, elephant
Apolonia Lockman, Machop, fly
Dalila Beatty, Poliwrath, bee
Wilfredo Hirthe, Hypno, impala
Brandie Bergstrom I, Squirtle, skunk
Britt Bode, Muk, chinchilla
Shirley Bernhard, Kabuto, clam
Mr. Garrett Bergnaum, Chansey, reindeer
Dallas Hodkiewicz, Rhydon, alligator
Mitchel Weber MD, Weedle, spider
Morgan Nader MD, Spearow, deer
Rey MacGyver II, Bellsprout, wildebeest
Ivette Stiedemann, Pidgey, water buffalo
Junior Moen, Dodrio, hornet
Sherise Lockman, Weezing, ox
Isaac Torphy, Farfetch'd, bee
Roselle Barton IV, Krabby, macaw
Debbra Halvorson, Clefairy, jellyfish
Ms. Ruben Wehner, Voltorb, goose
Sandy Bechtelar, Vileplume, gnat
Julian Rowe Sr., Rhyhorn, cattle
Joaquina Lehner, Paras, gorilla
Else Stokes, Geodude, mosquito
Mathilde Kautzer Jr., Ninetales, impala
Manual Bashirian, Moltres, hyena
Laverne Kuvalis, Articuno, shark
Benton Oberbrunner, Hitmonlee, toad
Ellyn Predovic, Haunter, ferret
Tobie Lubowitz PhD, Clefairy, trout
Jessica Mueller, Caterpie, fly
Sharan Ortiz, Machoke, spider
Abram Schinner, Kingler, baboon
Janie Hahn, Onix, serval
Eliz Herzog, Squirtle, squirrel
Isreal Sawayn, Magneton, lion
Esta Carter, Gloom, cattle
Shawanna Mayert, Ponyta, cattle
Mrs. Denis Rau, Pidgey, eel
Bradley Hahn Sr., Dugtrio, jellyfish
Bennie Kreiger, Flareon, mink
