Johnathon Roob, Omastar, cheetah
Mr. Calvin Bogisich, Bulbasaur, cheetah
Rico Thiel, Nidoking, deer
Miss Trevor Gutkowski, Gyarados, ferret
Gregorio Mosciski, Paras, seal
Phil Langosh, Onix, minnow
Gaylord Wunsch I, Hypno, tiger
Miss Mackenzie O'Hara, Machoke, guinea pig
Mrs. Winford O'Hara, Porygon, caribou
Ms. Clair Zboncak, Kabutops, butterfly
Leopoldo Sporer IV, Clefairy, yellowjacket
Delsie Brown, Pikachu, gerbil
Sharyl McClure, Geodude, mammoth
Mr. Aldo Lang, Ninetales, mosquito
Rodrigo Hickle, Vulpix, dolphin
Leo Metz, Goldeen, macaw
Whitney Aufderhar, Jigglypuff, jellyfish
Dr. Kip Moore, Kabuto, mule
Dorothea Brekke Jr., Dragonair, serval
Perry Goyette, Flareon, porpoise
Dr. Roger Bogan, Nidorina, cattle
Lynne Swift, Persian, crow
Claud Runolfsson, Jolteon, snail
Dr. Annika Kirlin, Golbat, alligator
Merry Rogahn, Drowzee, oyster
Natisha Turcotte V, Horsea, reindeer
Ms. Gaston Lehner, Magmar, gnu
Nathan Hills, Tentacruel, manatee
Nikita Crooks, Slowbro, jackal
Timothy Littel, Nidorino, trout
Kimberly Shanahan, Jynx, yak
Barton Watsica, Gastly, guinea pig
Miss Jenni Pfeffer, Ponyta, cockroach
Keith Boyer, Koffing, crocodile
Star Wilkinson, Nidoran, hedgehog
Benedict Bartell, Graveler, impala
Osvaldo Flatley, Ditto, wallaby
Mack Kertzmann, Ivysaur, rat
Ms. Samara Harvey, Diglett, shark
Chester Cormier, Magikarp, herring
Stefania Torp, Tentacruel, turtle 
Mrs. Ralph Dibbert, Bellsprout, mink
Tracey Collier, Pidgeotto, hamster
Mrs. Marcos Schuppe, Geodude, swan
Rudolph Metz, Poliwrath, dog
Dr. Lazaro Altenwerth, Rhydon, zebra
Vicente Mayer, Koffing, ox
Brett Ledner, Pidgeotto, lizard
Rodrick Wolff DVM, Grimer, locust
Corey Abshire, Caterpie, rhinoceros
