Jerrold Breitenberg, Seaking, rat
Mrs. Lindsey King, Magneton, gnu
Lynne Gerlach, Mr. Mime, bear
Brett Dickens, Shellder, hound
Oscar White, Clefable, goose
Princess Sipes, Lickitung, raven
Ben Pouros, Charmeleon, wolf
Lynette Hand, Exeggutor, crow
Phuong Will, Charmeleon, alpaca
Julee Medhurst, Sandshrew, whale
Chantell Fisher, Exeggutor, wolf
Randell Kerluke, Krabby, platypus
Huey Watsica, Sandslash, oyster
Ligia Wolf, Rapidash, cattle
Will Casper, Exeggcute, lion
Nancey Kemmer, Drowzee, jellyfish
Vella Bernhard, Staryu, muskrat
Debrah Price PhD, Rhydon, fox
Cornelius Rath, Electrode, alpaca
Brady O'Conner III, Poliwhirl, tortoise
Mrs. Gaylene Padberg, Zapdos, caribou
Freddie Wunsch, Voltorb, dolphin
Dr. Stefanie Walsh, Hitmonchan, alpaca
Jimmie Cassin, Abra, alligator
Alex Erdman, Parasect, salmon
Kurt Altenwerth, Magmar, sheep
Mia Blanda, Dugtrio, macaw
Herbert Funk IV, Charmeleon, ferret
Nisha Jacobson, Kadabra, eel
Sung Pfannerstill, Jolteon, gnu
Aretha Strosin, Hitmonlee, guinea pig
Roosevelt Lakin, Rapidash, squirrel
Idalia Hartmann, Snorlax, buffalo
Scot Kohler, Krabby, alpaca
Maribel Quitzon III, Horsea, cod
Billy Kris IV, Persian, platypus
Alaine King I, Nidoran, mink
Erin Welch, Tangela, dolphin
Cecila Halvorson DVM, Staryu, whale
Vince Stracke, Nidoking, gnat
Blair Heidenreich I, Weedle, bear
Norene Renner PhD, Pidgey, hornet
Josh Weber, Tauros, pug
Mr. Cecile Johnson, Machamp, caribou
Rubin Glover, Shellder, alpaca
Ms. Shonna Botsford, Bulbasaur, sea lion
Mariko Padberg, Poliwag, macaw
Miss Coleman Conroy, Articuno, turtle 
Alejandro Connelly, Weezing, llama
Mr. Joel Leffler, Kingler, raven
