Linwood O'Reilly, Charmander, water buffalo
Miss Xavier Osinski, Charmander, leopard
Yadira Powlowski, Bulbasaur, fox
Harriette Predovic, Lapras, duck
Gilberto Nader, Staryu, mouse
Jeff Upton I, Weezing, whale
Cesar Oberbrunner, Ditto, chimpanzee
Mckinley Adams, Arcanine, otter
Deedee Collier, Shellder, hound
Hilario Kassulke, Machoke, alligator
Lowell Mayer, Dratini, rat
Jessia Corkery V, Ekans, pig
Rima Moen, Golem, elephant
Ms. Aubrey Greenfelder, Machamp, mule
Micah Waters Sr., Clefairy, wombat
Tyrone Green, Rapidash, crocodile
Conrad Dicki, Meowth, mammoth
Mrs. Elnora Borer, Vaporeon, coyote
Birgit Grimes I, Psyduck, whale
Elvis Grant III, Kingler, wolf
Maritza Cummerata, Poliwrath, moose
Lorena Bahringer, Abra, yak
Chase Harvey II, Machop, jackal
Maryann Mante, Magikarp, wolf
Romona Kovacek, Jolteon, chinchilla
Vera Quigley DDS, Moltres, chimpanzee
Ms. Despina Hudson, Mr. Mime, gnu
Nickolas Stiedemann, Dodrio, rabbit
Ardelia Grant, Flareon, llama
Ricky Gerhold, Kingler, badger
Garret Cole IV, Arcanine, worm
Mr. Dina Miller, Kadabra, reindeer
Ms. Skye Pagac, Blastoise, moose
Abraham Ryan, Rhyhorn, horse
Orlando Muller II, Oddish, jackal
Helen Schumm, Tangela, ape
Dr. Wilford Gutkowski, Kangaskhan, ape
Miss Tambra Windler, Growlithe, rabbit
Kandy Roob, Dragonair, jellyfish
George Mayert, Marowak, goat
Charlsie Collier MD, Farfetch'd, pug
Deon O'Connell III, Vileplume, salmon
Miss Jessie McKenzie, Dratini, rhinoceros
Reyna Rempel, Bulbasaur, badger
Sona Pfannerstill, Vulpix, frog
Mr. Gail Abernathy, Articuno, armadillo
Brandy Kreiger, Onix, goldfish
Analisa Grant, Shellder, mink
Jayne DuBuque, Krabby, hound
Arla Wisoky, Tangela, giraffe
