Kiana Haag, Nidoking, ox
Kelley Kreiger, Farfetch'd, impala
Tomi Witting, Caterpie, wombat
Antoinette Nicolas, Magneton, moose
Mr. Myles Ernser, Parasect, donkey
Mayola Heathcote, Muk, zebra
Delbert Ankunding, Parasect, pug
Roselee Auer, Caterpie, toad
Clyde Bins, Magnemite, raccoon
Rodney Smitham, Porygon, rhinoceros
Chauncey Bartell, Machoke, prairie dog
Austin Reilly Sr., Caterpie, cattle
Emmanuel Daugherty, Gengar, camel
Lise Weissnat, Arbok, goose
Dona Jacobi, Magikarp, ox
Mrs. Pablo Dietrich, Goldeen, cicada
Irmgard Stracke MD, Voltorb, hound
Augustus Gleason, Vileplume, raccoon
Bess Gutmann, Mewtwo, turtle 
Jordon Lubowitz, Snorlax, armadillo
Herb Lowe, Primeape, deer
Winnie Hegmann, Moltres, raccoon
Virgilio Waelchi, Beedrill, gnu
Tawanna Gorczany, Growlithe, spider
Marietta Blick, Poliwhirl, marten
Deangelo Jacobson III, Seadra, shark
Jacquelin Thompson, Wigglytuff, turtle 
Allyn Ebert, Rhyhorn, pig
Toney Medhurst MD, Golduck, mallard
Terisa Stanton, Kangaskhan, trout
Archie Denesik PhD, Koffing, chimpanzee
Jamie Mayert, Seadra, platypus
Felton Gerlach DVM, Parasect, crocodile
Lida Grady, Tangela, muskrat
Garfield Hoeger, Seel, raccoon
Ashli Dooley V, Abra, raven
Faith Lang, Spearow, cod
Miss Kirstin Cummerata, Electabuzz, clam
Concha Mante Jr., Kadabra, cheetah
Kena Klein, Magikarp, raccoon
Doyle Steuber, Moltres, skunk
Pearline Barrows, Pidgeot, bee
Una Kihn V, Magmar, skunk
Gerard Vandervort, Onix, leopard
Rory Morissette I, Alakazam, gnat
Dr. Joella Thompson, Tauros, mink
Monte Parisian, Grimer, muskrat
Oralee Medhurst, Raticate, raven
Abel Streich, Nidorina, dolphin
Wendolyn Hoeger, Paras, mink
