Hattie D'Amore IV, Mewtwo, porcupine
Mr. Jaime Dare, Seaking, hippopotamus
Mrs. Marge Gerlach, Dragonair, shark
Enda Shanahan, Mewtwo, hornet
Marcel Lynch, Kingler, squirrel
Piper Kunze, Metapod, minnow
Carmelia Marvin, Dugtrio, dolphin
Josphine Dickens V, Jolteon, hippopotamus
Carol Johnson, Nidoking, sardine
Sylvester Funk, Venusaur, porcupine
Williams Schoen, Slowbro, gerbil
Eveline Prosacco, Butterfree, hare
Hans Huels, Bulbasaur, mammoth
Al Rempel, Ninetales, manatee
Mr. Elliot Homenick, Marowak, fox
Adelia Renner, Golem, baboon
Paris Satterfield, Kabutops, minnow
Mr. Albert Ankunding, Vaporeon, minnow
Miss Ciara Waelchi, Graveler, crow
Jefferson Moen, Dewgong, ferret
Dona Nicolas, Omastar, trout
Carter Grant, Kabutops, scorpion
Lanny Bradtke, Venusaur, dinosaur
Hal Champlin, Primeape, elk
Lester Schmitt, Diglett, toad
Lynelle Witting, Horsea, water buffalo
Nicolas Beahan, Poliwrath, dinosaur
Florentino Nolan, Horsea, yak
Abel Purdy, Haunter, alpaca
Jack Davis, Hypno, elk
Clemente Bradtke, Charmander, yak
Merri Mertz, Charizard, eel
Mr. Wally Jerde, Pinsir, beetle
Natalie Bernier, Nidorina, buffalo
Howard King, Slowpoke, hound
Dr. Stepanie Simonis, Arcanine, chinchilla
Ethan DuBuque, Staryu, fox
Matthew Klocko, Ditto, porcupine
Jefferson Wisozk III, Arcanine, cockroach
Cortez Bruen, Farfetch'd, turtle 
Warren Batz, Zapdos, tortoise
Sang Barton, Fearow, clam
Bianca Balistreri, Seaking, macaw
Cristal Batz, Metapod, goat
Ms. Adan Marvin, Exeggcute, hornet
Sherry Rohan, Dodrio, beetle
Andrew Kling I, Vileplume, cod
Joanie Schoen, Porygon, ferret
Clifford Hayes, Ivysaur, walrus
Steven Wilderman, Oddish, crocodile
