Tierra Kshlerin II, Spearow, mule
Reva Halvorson MD, Weezing, tortoise
Garrett Champlin, Metapod, eagle
Randell Schroeder, Clefairy, shark
Daryl Russel, Nidoran, monkey
Gale Corwin, Zapdos, wallaby
Isobel Witting, Electabuzz, buffalo
Norris Klocko, Growlithe, cicada
Alena Koelpin, Pinsir, beetle
German Hilpert MD, Beedrill, cricket
Nathanial Hills, Arcanine, dog
Robin Kerluke II, Bellsprout, pug
Mr. Porsha Steuber, Horsea, deer
Dalton Monahan, Tentacool, elephant
Emmie Muller, Raichu, worm
Edwin Considine, Victreebel, wallaby
Martin Heller DDS, Vaporeon, fish
Farah Harvey, Muk, leopard
Lashawnda Rolfson, Charizard, fox
Kerri Rau, Dodrio, snail
Brynn Schaden, Paras, cricket
Nicky Padberg, Jolteon, armadillo
Cleora Boehm, Horsea, eagle
Mrs. Luis Ruecker, Golbat, monkey
Jerrell Labadie, Gloom, hamster
Delcie Becker, Charmander, dinosaur
Tad Funk, Eevee, ox
Everett Bayer, Chansey, dog
Vena Johns, Kingler, badger
Winnifred Ratke, Flareon, prairie dog
Davida Davis MD, Golduck, water buffalo
Emerson Mitchell, Dragonite, hyena
Winston Douglas, Hitmonchan, mink
Ms. Isaac Littel, Rattata, jellyfish
Leandro Daniel DDS, Porygon, donkey
Lewis Stehr, Venusaur, salmon
Paul Beier, Mankey, ferret
Deeanna Upton, Kabuto, termite
Jayson Feest, Slowpoke, cicada
Louisa Metz MD, Charizard, wombat
Dr. Stanford Hills, Slowpoke, ape
Dr. Golda Larkin, Blastoise, crab
Rickey Hahn V, Farfetch'd, wasp
Angel Gleason, Vileplume, elk
Mercedez Kuhic, Electrode, muskrat
Regina Veum, Dugtrio, whale
Armanda Sanford, Weezing, beetle
Jeanne Bailey, Kabuto, horse
Miss Cedric Terry, Diglett, gnu
Tristan Veum, Dugtrio, cheetah
