Emerson Ebert MD, Onix, dolphin
Myrl O'Keefe, Wartortle, yak
Mr. Hisako Gottlieb, Vulpix, mink
Mellie Klocko, Kangaskhan, manatee
Zane Quitzon, Charmeleon, termite
Moriah Mills Sr., Rapidash, sheep
Shayne Thiel, Parasect, snail
Lucille Schowalter, Pinsir, wallaby
Latoyia Gaylord Sr., Exeggcute, goose
Vincenzo Strosin, Alakazam, dolphin
Tommy Bahringer MD, Ekans, hedgehog
Miss Donovan Bauch, Jolteon, oyster
Josef Cruickshank, Rattata, spider
Emanuel Ullrich, Arbok, trout
Ernie Morar MD, Primeape, elephant
Barry Schimmel, Omanyte, hound
Dr. Dorie Walsh, Snorlax, tiger
Serafina Roberts, Arbok, fox
Briana Dickens, Hitmonlee, camel
Jim Prohaska, Electrode, trout
Kenny Sanford, Voltorb, scorpion
Randolph Larkin, Clefairy, gnu
Javier Mann, Rhyhorn, turtle 
Lorena Kemmer, Omastar, mouse
Lucila Muller, Pidgeotto, raccoon
Mr. Zada Wehner, Pidgey, skunk
Miss Donna Crist, Goldeen, grasshopper
Rufus Volkman, Scyther, elk
Graig Stamm MD, Poliwrath, panda
Miss Deon Wiegand, Charizard, hornet
Mike Kohler, Ponyta, monkey
Dr. Kamilah Murazik, Tauros, leopard
Sherlyn Medhurst, Kakuna, sea lion
Joesph Barton, Weezing, cattle
Daren Lockman V, Electabuzz, porcupine
Aaron Breitenberg, Seadra, goat
Mrs. Hugh Kling, Lickitung, squirrel
Fredrick Beahan, Clefairy, cicada
Dominic Herzog, Machoke, porcupine
Trevor Howe DDS, Articuno, giraffe
Cathern Abernathy, Ponyta, horse
Xuan Beier I, Scyther, monkey
Cherlyn Grimes, Grimer, mink
Miss Freeman Gutmann, Raichu, armadillo
Herb Satterfield, Bellsprout, wildebeest
Yvone Bauch, Magmar, lion
Alphonse Erdman, Diglett, goose
Porter Ruecker, Seaking, goldfish
Mitzi Sauer, Machamp, mole
Mr. Iva Turner, Dragonite, coyote
