Rusty Waelchi, Poliwag, wolf
Mr. Conrad Wyman, Snorlax, sheep
Remona Von, Jigglypuff, gnat
Hugo Jakubowski, Nidorina, hamster
Bettyann Olson, Zapdos, whale
Doreen Jaskolski, Golduck, hippopotamus
Rafael Fahey, Blastoise, jellyfish
Edna Schinner, Cubone, cheetah
Tommy Koch, Articuno, dinosaur
Ms. Margarett Keeling, Tentacool, mink
Dong Strosin, Clefairy, weasel
Latoya Paucek, Nidoran, skunk
Carmel Wilderman, Fearow, water buffalo
Logan Koelpin, Lapras, mammoth
Kristie Langworth, Rhydon, raccoon
Dr. Casey Marvin, Magnemite, louse
Forest Mayert, Nidoking, fox
Katherine Hane II, Raticate, pig
Samual Larson, Parasect, monkey
Faustino Lehner, Golduck, eagle
Len Gislason, Alakazam, porpoise
Columbus Franecki, Vaporeon, cockroach
Mrs. Niesha Schumm, Horsea, frog
Brandon Dach, Dragonair, elk
Whitley Zulauf, Slowbro, gnu
Mrs. David Prohaska, Charmeleon, elephant
Avery Kessler DDS, Seaking, cicada
Kyle Okuneva, Lapras, rabbit
Brittani Medhurst, Lickitung, worm
Theron Koepp, Omastar, buffalo
Mrs. Narcisa Koch, Kabutops, koala
Clyde Shields, Zubat, wasp
Ruthe Tromp II, Meowth, walrus
Miriam Frami, Machoke, camel
Blanca Osinski, Butterfree, crow
Eugene Keebler, Metapod, mosquito
Darrin Ortiz, Lickitung, monkey
Ms. Marcelene Zulauf, Charizard, guinea pig
Arnetta Dibbert, Clefable, cat
Dayna Robel, Drowzee, wombat
Rory Lang I, Dragonite, platypus
Dr. Julius Ryan, Graveler, worm
Alysia Gorczany, Gastly, shark
Ms. Tod Herzog, Porygon, mosquito
Edison Bauch DDS, Eevee, deer
Precious Stroman, Voltorb, weasel
Sydney Huel, Koffing, wildebeest
Alana Funk, Mew, cheetah
Natalya Beer DDS, Ninetales, dog
Barb Purdy, Butterfree, bee
