Desiree Gottlieb, Magmar, bat
Elvis Kuhn, Gyarados, frog
Jackelyn Veum DDS, Caterpie, crow
Carlo Kunze, Ninetales, ape
Annabelle Watsica, Omanyte, mouse
Darnell Frami, Horsea, skunk
Chas Grant Jr., Shellder, skunk
Millard Gerhold, Slowpoke, cicada
Eddy Treutel III, Machoke, hippopotamus
Miss Deandre Okuneva, Magikarp, bee
Ms. Dorothy Deckow, Snorlax, termite
Joy Ziemann, Rhyhorn, moose
Dylan Mosciski, Kangaskhan, hornet
Bernarda Kautzer, Exeggutor, marten
Vida Morissette, Drowzee, gnu
Ardell Senger, Graveler, alligator
Tuan Adams, Gyarados, giraffe
Geraldo Crist DDS, Staryu, eel
Oliver Kunze Jr., Hitmonlee, hyena
Juan Bogisich DVM, Lickitung, camel
Marisela Casper, Starmie, beetle
Mel Graham, Charmeleon, ant
Chang Stracke, Meowth, gnat
Miss Tyrell Haag, Pinsir, yellowjacket
Milo Spencer, Charmeleon, gerbil
Mrs. Dorcas Lueilwitz, Kadabra, goose
Joe Ritchie, Diglett, prairie dog
Lashon Wiza, Venusaur, rabbit
Ella Hilpert V, Sandshrew, locust
Aurelio Lowe DVM, Dodrio, dinosaur
Enoch Jerde, Goldeen, bat
Kimbery Rosenbaum, Grimer, elk
Maye Macejkovic, Horsea, worm
Dennis Corkery, Eevee, weasel
Denver Rohan, Ekans, snail
Jacinto Schowalter II, Golduck, oyster
Ronny Mertz, Seadra, alligator
Bret Nikolaus, Squirtle, rhinoceros
Oliver Lind, Omanyte, termite
Mr. Esteban Grant, Kangaskhan, hyena
Eloise Hammes, Psyduck, panda
Barry Cronin, Charmeleon, fly
Gary Hahn, Magikarp, sheep
Miss Gonzalo Volkman, Dragonite, hyena
Dr. Wilmer Padberg, Diglett, pig
Clemente Lynch, Scyther, horse
Desmond Schaefer, Dratini, tortoise
Jeanne Pollich, Rhydon, water buffalo
Miss Randy Pagac, Gloom, otter
Harland Quitzon, Marowak, hare
