Alycia Grimes, Jynx, ape
Ingeborg Mante, Arcanine, porpoise
Sydney Kuhic DDS, Lickitung, cat
Mrs. Asa Turner, Tentacool, raccoon
Hoa Bahringer PhD, Dugtrio, swan
Alyssa Huel, Kadabra, mosquito
Caitlin Rosenbaum, Drowzee, termite
Mrs. Jacinda Gulgowski, Machop, grasshopper
Robyn Gibson PhD, Magneton, gnat
Kieth Towne, Abra, duck
Kennith Yost Sr., Clefairy, caribou
Jannet Medhurst, Slowbro, lion
Bambi Langworth, Porygon, guinea pig
Vivan Kassulke, Nidoqueen, butterfly
Ying Kohler, Marowak, lizard
Stacy Kiehn, Caterpie, ox
Mack Borer IV, Sandshrew, cattle
Elisha Legros Jr., Eevee, horse
Wallace Moore DVM, Psyduck, pig
Francis Boyer, Flareon, mule
Robbie Schuppe, Rapidash, grasshopper
Yi Price, Machoke, chimpanzee
Ms. Kiersten Cummings, Pinsir, wombat
Arlyne Heidenreich, Jolteon, mink
Nathaniel Hettinger, Exeggutor, mole
Christina Mertz, Machop, grasshopper
Ms. Dionna Hane, Meowth, serval
Marilyn Borer, Flareon, hound
Leesa Purdy, Dragonite, platypus
Gretchen Kassulke, Persian, wasp
Miss Lazaro Wehner, Arbok, porpoise
Heath Zboncak, Metapod, wombat
Tama Cartwright, Mr. Mime, impala
Benjamin Kuhlman II, Fearow, cheetah
Armand Harber IV, Snorlax, water buffalo
Benton Shields PhD, Gyarados, camel
Chang Ullrich, Paras, goose
Lu Beahan II, Omastar, impala
Ernest Nikolaus, Voltorb, chinchilla
Joe Jerde, Kakuna, ant
Mrs. Elida Stiedemann, Nidorina, lizard
Norris Hettinger, Omanyte, gnu
Marcus Kutch, Sandslash, tortoise
Booker Krajcik, Dratini, hippopotamus
Veronica Sanford, Metapod, chinchilla
Yelena Larkin, Clefairy, lizard
Noe Kub V, Jynx, walrus
Refugio Gutkowski, Krabby, beetle
Charlie Olson III, Clefairy, mule
Mitzi Bins, Tentacool, turtle 
