Johnathon Borer, Ponyta, badger
Alonso Homenick, Rapidash, gorilla
Soon Gleichner, Vaporeon, gnat
Miss Nicholas Hoppe, Blastoise, jackal
Terina Kuhic I, Flareon, serval
Dr. Whitley Shanahan, Spearow, gorilla
Franklin Reichel, Kabuto, hornet
Randy Jast, Hitmonlee, rabbit
Elisa Jacobson, Hitmonchan, elephant
Sybil Nader, Shellder, otter
Rosario Abbott, Dodrio, crow
Dave Predovic, Dratini, mule
Catalina Bradtke, Ivysaur, raccoon
Catherine Carroll, Fearow, mammoth
Fredric Block, Vileplume, lion
Ms. Willard Cummings, Rapidash, mole
Tom Quitzon, Voltorb, chinchilla
Leeanna Corwin, Kingler, sea lion
Werner Nicolas, Grimer, ape
Ty Mohr, Golbat, dinosaur
Kaye Schowalter, Spearow, badger
Micheal Lueilwitz, Koffing, guinea pig
Jessie Torp MD, Rhydon, macaw
Meryl Rowe, Seadra, cricket
Michel Dickens, Horsea, scorpion
Marshall Hickle, Charmander, llama
Chanel Cassin, Jolteon, locust
Ada Bernier, Blastoise, monkey
Jim Gleason, Magnemite, leopard
Isabelle Hyatt, Machamp, raccoon
Ryan Torphy III, Chansey, cattle
May Johnston, Graveler, elephant
Sona West, Ponyta, lion
Desire Quigley, Magikarp, prairie dog
Gaston Corkery PhD, Grimer, butterfly
Jena Reichert, Kakuna, donkey
Gilberto Goodwin, Charizard, cattle
Natalia Kshlerin, Gloom, mallard
Honey Kozey, Flareon, reindeer
Camie Rice PhD, Weepinbell, goose
Miss Merry Hessel, Mr. Mime, locust
Steven Keebler, Zapdos, crow
Randell Bashirian, Doduo, serval
Dr. Bob Funk, Caterpie, mole
Rhett Baumbach, Kangaskhan, camel
Rufus Stroman, Primeape, porcupine
Hank Pouros, Lapras, caribou
Branden Armstrong, Nidoking, dinosaur
Meta Heidenreich, Psyduck, eel
Emelina Herzog Sr., Jigglypuff, louse
