Shari Robel, Omastar, fish
Dr. Robby Gorczany, Zapdos, rhinoceros
Mr. Judi Keebler, Golbat, manatee
Billie Kuhlman, Metapod, rat
Clotilde Pagac IV, Moltres, elephant
Mr. Dannie Swift, Magneton, marten
Brendon Funk, Raichu, weasel
Joey Dooley, Mr. Mime, hedgehog
Herta Rosenbaum, Nidoran, hamster
Angelique Schmidt, Magmar, yellowjacket
Lakesha Kassulke, Venusaur, zebra
Mrs. Olin Nikolaus, Charmeleon, herring
Leonora Goodwin, Tentacool, crab
Devin Braun, Cubone, dolphin
Frances Ritchie, Vileplume, swan
Birgit Armstrong, Hitmonlee, leopard
Douglas Aufderhar, Pidgeotto, sardine
Kym Deckow DDS, Machop, snake
Mrs. Kelli McDermott, Pidgey, horse
Dr. Reynalda King, Poliwhirl, beaver
Kirsten Cormier, Geodude, eagle
Delmer Erdman IV, Butterfree, locust
Dia Wunsch, Aerodactyl, reindeer
Modesta Breitenberg, Oddish, muskrat
Gene Keeling, Dratini, reindeer
Gisele Luettgen, Onix, marten
Colin Howell, Diglett, badger
Mrs. Susy Fahey, Horsea, jackal
Lavon Towne, Scyther, worm
Leticia McCullough, Weedle, yak
Mrs. Lavelle Wunsch, Tangela, wolf
Ms. Kristeen Prosacco, Raichu, porcupine
Chantay Mraz, Machop, pig
Kristle Luettgen, Drowzee, jellyfish
Eldora Nolan, Pikachu, monkey
Randolph Koepp I, Golduck, hound
Cindy Swaniawski PhD, Farfetch'd, gerbil
Victor Powlowski, Wartortle, impala
Miss Danelle MacGyver, Clefable, water buffalo
Jed Hackett, Drowzee, ox
Shila Langworth, Weedle, wallaby
Dr. Andy Satterfield, Seel, eel
Delores Pacocha, Drowzee, locust
Ms. Laurel Quigley, Gloom, eagle
Drew Grady, Nidoqueen, reindeer
Dave Kshlerin, Onix, hare
Ervin Treutel, Mewtwo, trout
Jenell Grady, Scyther, chimpanzee
Mr. Lauren Von, Gyarados, prairie dog
Darin McCullough, Ninetales, wallaby
