Daniel Upton, Parasect, raccoon
Michel Bernhard, Snorlax, whale
Christopher Cassin, Paras, eagle
Traci Schaden, Kadabra, kangaroo
Jerrod Larkin, Spearow, hyena
Sheldon Hegmann, Chansey, goldfish
Vernice Towne, Slowbro, frog
Cecil Walter, Kadabra, elephant
Lizette Wintheiser, Wigglytuff, prairie dog
Catalina Sipes, Omastar, koala
Enrique Trantow, Spearow, swan
Mrs. Kraig Jacobson, Venomoth, deer
Vikki Rath, Magikarp, muskrat
Claretha Schuppe, Dratini, weasel
Mr. Dino Wisoky, Gastly, mule
Clarinda Osinski, Dragonite, koala
Rodney Mueller V, Vileplume, louse
Eugene Braun, Koffing, panda
Barry Rosenbaum, Dugtrio, rabbit
Marvin Wiza, Fearow, salmon
Jerrod Lind, Paras, rat
Vaughn Wolf, Tentacruel, woodchuck
Miss Rozella Reichert, Vulpix, leopard
Tawanna Purdy, Poliwhirl, lion
Lahoma Howe, Fearow, swan
Josiah Powlowski II, Zubat, termite
Tiffaney Lang Sr., Voltorb, gerbil
Suzette Boehm, Drowzee, herring
Nichelle Carter, Mewtwo, rhinoceros
Janyce Friesen, Ekans, gnu
Sydney Schuppe, Muk, zebra
Lucilla Predovic I, Porygon, fly
Toccara Dibbert, Slowbro, pig
Mr. Matha McClure, Omanyte, muskrat
Mac Lueilwitz, Alakazam, leopard
Epifania Ziemann, Pidgeotto, raccoon
Ms. Vanessa Sanford, Kakuna, koala
Madeleine Hand II, Ninetales, caribou
Manda Purdy, Golbat, porcupine
Reynaldo Fadel, Fearow, wolf
Celena Flatley DVM, Kabuto, llama
Andy Adams, Mewtwo, armadillo
Ms. Mabelle Buckridge, Kadabra, sardine
Hershel Brown, Poliwrath, beetle
Ms. Luther Gottlieb, Goldeen, serval
Miss Lucas Lowe, Cubone, otter
Tynisha Graham IV, Charizard, leopard
Wesley Treutel, Gyarados, manatee
Lavon Bartoletti, Tentacruel, reindeer
Mrs. Meredith Collier, Growlithe, mallard
