Hollis Rice DDS, Charizard, duck
Charles Abernathy, Rhyhorn, impala
Vida Conroy, Ninetales, woodchuck
Blake Koepp DDS, Krabby, frog
Olivia Schoen, Ivysaur, goose
Francisco Towne, Weezing, jellyfish
Marvella Huel, Nidoran, dinosaur
Shaneka Maggio, Dodrio, bat
Zoe Wyman I, Lapras, manatee
Chang O'Kon, Machoke, crab
Miss Chet Gutkowski, Krabby, cricket
Louis Reinger, Machamp, salmon
Delisa Greenholt, Primeape, skunk
Conception Bode, Kangaskhan, prairie dog
Rosaria Kerluke, Venonat, minnow
Margareta Becker, Primeape, hedgehog
Albert Bayer, Raticate, tortoise
Guadalupe Wehner Jr., Kakuna, snake
Holley Lehner, Scyther, sheep
Norberto Hahn, Fearow, gnu
Florencio Bogisich, Gloom, wolf
Anderson Greenfelder, Drowzee, walrus
Mr. Taren West, Doduo, crab
Lyla Block, Gengar, fly
Lida Lemke, Farfetch'd, worm
Lisette Trantow Jr., Nidoran, coyote
September Davis, Geodude, giraffe
Ardella Waelchi IV, Shellder, elephant
Darron Steuber Sr., Tentacruel, impala
Ms. Vertie Hilll, Hitmonchan, armadillo
Mariel Harris, Victreebel, dog
Anika Marks, Exeggcute, deer
Peter Harber IV, Metapod, impala
Courtney Lowe, Ivysaur, gorilla
Letty Johnson, Graveler, fish
Dr. Albertine McCullough, Kabuto, platypus
Cedrick Powlowski II, Omanyte, frog
Ms. Vito D'Amore, Venonat, bear
Cameron Huel, Kakuna, baboon
Alfred Heaney DDS, Psyduck, sardine
Haywood O'Connell IV, Kadabra, mouse
Janise Bechtelar, Omastar, hamster
Diann Jast, Kingler, marten
Thurman Yundt, Vulpix, coyote
Leone Kertzmann, Nidoran, sheep
Cyrus Rempel, Wartortle, woodchuck
Tania Bartell, Snorlax, gorilla
Tera Predovic, Magmar, crow
Avis Cronin V, Blastoise, jellyfish
Enid Bauch III, Ponyta, ferret
