Esther Kris, Mew, toad
Lily Aufderhar, Weedle, toad
Melissia Mayert, Nidoran, horse
Joan Feil, Paras, eel
Bradley Kshlerin Jr., Blastoise, horse
Skye Goyette, Tentacool, locust
Freddie Lind, Nidoran, cattle
Marta Corwin, Golem, rhinoceros
Will Mitchell, Clefable, monkey
Margeret Will, Beedrill, frog
Toney Jones, Seadra, whale
Erin Braun, Seaking, badger
Sade Koch, Ivysaur, armadillo
Ludie Bartell, Squirtle, eel
Hermina Bartell PhD, Sandshrew, otter
Mrs. Leandro Hagenes, Raichu, snake
Donn Olson, Tentacool, swan
Ophelia Hessel, Alakazam, seal
Maris Nicolas, Wartortle, sardine
Reita Kovacek II, Goldeen, caribou
Forest McKenzie Jr., Magnemite, elk
Raymundo Torp, Lickitung, termite
Fatima Stark, Nidorino, dog
Valentine White, Omanyte, dog
Miss Marcie Reilly, Drowzee, lizard
Sheryl Gutmann V, Magneton, ox
Dr. Porfirio Connelly, Kabuto, minnow
Alfonso Pagac, Wartortle, camel
Mrs. Treena Kerluke, Scyther, pug
Rigoberto Runolfsson III, Kabutops, whale
Pennie Ward V, Dratini, wallaby
Dario Carroll III, Dragonair, fly
Amiee Schultz, Rhydon, fox
Virgen Witting, Machoke, squirrel
Dr. Ismael Rodriguez, Slowbro, baboon
Nan Torphy, Golduck, bee
Elinor Kreiger, Victreebel, fly
Dennise Satterfield, Primeape, elephant
Clyde Ledner, Butterfree, gnat
Sierra Simonis, Charizard, ox
Mr. Raymundo Barton, Jigglypuff, serval
Loren Hodkiewicz, Slowbro, camel
Shad Dibbert, Raticate, sheep
Stacee Conn, Arbok, kangaroo
Carey Rath, Slowbro, fish
Gene Howe, Ivysaur, coyote
Bertram Kunze, Poliwrath, ferret
Toya Bauch V, Fearow, donkey
Janell Leannon, Vaporeon, guinea pig
Allene Grant, Hitmonchan, manatee
