Hermelinda Lebsack, Rhyhorn, giraffe
Stephenie Kuhlman, Geodude, trout
Kassandra Goodwin PhD, Jynx, wildebeest
Calvin Upton DDS, Mew, cat
Matilda Mohr, Primeape, bear
Dr. Dino Hettinger, Weepinbell, grasshopper
Arielle Sporer III, Kingler, eagle
Blossom Simonis, Mewtwo, minnow
Violeta Gleichner, Wartortle, weasel
Glendora Leuschke, Tentacruel, pug
Marylou Ullrich, Abra, duck
Malcom Schultz, Nidoking, hamster
Edwin Pfannerstill PhD, Mr. Mime, gnat
Rolando Kerluke, Charizard, horse
Truman Koss, Arbok, mole
Mrs. Patricia Zieme, Jolteon, sardine
Jeffrey Spinka, Exeggutor, moose
Grisel Wolff, Parasect, antelope
Ms. Abraham Witting, Ekans, butterfly
Lenore King Jr., Nidoran, mosquito
Arnold Baumbach V, Butterfree, weasel
Arie Padberg, Graveler, eagle
Tomika Gottlieb, Weepinbell, dog
Dr. Gordon Muller, Paras, cattle
Sanford Hahn, Electrode, otter
Weston Jaskolski, Machoke, reindeer
Leroy Jacobi, Kakuna, giraffe
Gabriela Lynch, Lickitung, koala
Will Grimes, Raichu, fox
Roxanna Glover II, Pidgeotto, llama
Eliza Harber Sr., Butterfree, bear
Claudio Bode, Electabuzz, herring
Chantell Huels, Pidgeot, donkey
Malcom Wiza II, Weezing, salmon
Eliseo Littel, Rhydon, horse
Ted Herzog Sr., Dragonite, eagle
Romona Wunsch, Zubat, wasp
Shanna Borer, Zapdos, spider
Jason Ritchie IV, Arcanine, gnat
Mariette Labadie, Snorlax, dog
Virgil Jaskolski, Aerodactyl, wolf
Corrina Huels, Abra, baboon
Kevin Boehm, Victreebel, mosquito
Stevie Gerhold, Staryu, wombat
Travis Barton, Venonat, lion
Dr. Napoleon Reilly, Jigglypuff, wildebeest
Rachell Bednar, Starmie, kangaroo
Mathew Bechtelar, Graveler, cicada
Bernardine Kohler, Lapras, crow
Ms. Bobbi Goyette, Primeape, buffalo
