Nathan Gaylord, Shellder, sea lion
Kathe Hodkiewicz, Kabuto, ferret
Chad Fritsch, Pidgey, mole
Dr. Wilbur Lind, Starmie, hornet
Valentine Nienow MD, Poliwrath, deer
Ms. Vincenza Mueller, Chansey, termite
Alvin Feest DDS, Golduck, hamster
Tyisha Harvey, Caterpie, sardine
Roosevelt Schamberger, Magikarp, otter
Tyree Olson Jr., Poliwrath, ferret
Dianna Fritsch, Seel, sea lion
Mimi Weissnat, Mr. Mime, jellyfish
Andrea Reichert, Rapidash, wasp
Norman Pfannerstill, Dragonair, dinosaur
Richard O'Reilly II, Marowak, gerbil
Rowena Stanton, Haunter, duck
Cherly McClure I, Staryu, monkey
Cedrick Beier Jr., Starmie, snake
Anja Kuhlman PhD, Ponyta, goat
Bev Wilkinson, Arcanine, cricket
Lyman Abshire I, Rapidash, reindeer
Gilberto Mann, Dragonite, lion
Brigette Skiles, Snorlax, camel
Morgan Torp III, Rhydon, donkey
Wilford O'Conner III, Hypno, dog
Katherine Treutel, Rhydon, pig
Roy Upton, Scyther, serval
Tennille Batz, Metapod, woodchuck
Conception Turner, Gengar, panda
Kenneth Mills, Victreebel, sardine
Mrs. Nena Johnson, Sandslash, bee
Jordon Altenwerth, Nidoking, scorpion
Shona Schuster, Growlithe, dog
Jarrett Boyle, Marowak, minnow
Son Von, Jigglypuff, chimpanzee
Chassidy Hilpert, Pidgey, fish
Dr. Velda Toy, Shellder, antelope
Julianna Jakubowski, Gastly, prairie dog
Deirdre Barton, Diglett, beaver
Miss Latesha West, Hypno, muskrat
Dylan Grimes, Tentacool, cicada
Mrs. Porsche Purdy, Tangela, wildebeest
Machelle Ledner, Kadabra, lion
Dr. Gertha Altenwerth, Bulbasaur, wasp
Dr. Catina Tremblay, Machoke, cattle
Sabine Lindgren DVM, Doduo, goose
Nelida Beatty MD, Shellder, locust
Keven Mosciski, Chansey, hare
Francesca Hintz, Diglett, yellowjacket
Mickey Pollich, Raticate, cheetah
