Mohammad Kassulke IV, Growlithe, cockroach
Tamesha Cremin, Slowbro, walrus
Garth Bashirian, Butterfree, gnu
Alfredia Kuphal, Eevee, shark
Sierra Walker, Raichu, cockroach
Jacinto Wisozk, Scyther, monkey
Kaylene O'Keefe, Dratini, manatee
Voncile Dicki, Rapidash, deer
Frank Spencer, Weedle, otter
Miss Elden Barton, Muk, worm
Margo Powlowski, Golem, cattle
Buffy Langworth, Mew, walrus
Charla Ullrich, Electrode, rhinoceros
Deeann Friesen, Clefairy, locust
Jenee Rippin MD, Scyther, cicada
Reynaldo Parisian I, Ivysaur, snake
Ricardo Bernier, Snorlax, raven
Crystle Beer, Jigglypuff, panda
Kareem Zulauf, Mankey, gnat
Mrs. Jannet Daniel, Nidoqueen, hornet
Lonnie Emard, Venusaur, lizard
Toney Collins, Oddish, goldfish
Alma Witting Sr., Mankey, moose
Fatimah Hirthe, Sandslash, alligator
Jayne Maggio, Growlithe, horse
Joanie Shanahan PhD, Squirtle, muskrat
Virgil Bartoletti DVM, Charmeleon, mink
Roosevelt Pfeffer I, Meowth, butterfly
Toya Harber, Paras, seal
Maisie Haag, Venomoth, baboon
Kennith Spinka, Geodude, porcupine
Josphine Hettinger, Rhydon, snail
Doria Cartwright, Spearow, hornet
Cassondra Sipes, Mankey, raccoon
Jacob Vandervort II, Nidorino, giraffe
Gerald Murazik, Rapidash, spider
Thomas Johnson I, Kingler, koala
Johnathon Gulgowski Jr., Squirtle, kangaroo
Kelsie Lind, Diglett, gorilla
Debora Rowe DDS, Charmander, muskrat
Marlena Little, Jigglypuff, chinchilla
Angelita Cummings, Onix, gerbil
Ms. Graig Keebler, Venonat, otter
Melony Mohr, Rattata, rabbit
Magan Bahringer, Dodrio, wombat
Jimmie Goodwin, Mr. Mime, ant
Damien Gleason IV, Articuno, dolphin
Sharla Ondricka MD, Mr. Mime, wasp
Annabel Armstrong, Omastar, elephant
Taina Ratke, Nidorina, platypus
